,chao1,faith_pd,observed_otus,shannon,simpson,simpson_e
100002935,27.0,6.54554730029,24.0,2.8611562203569867,0.8115094709459165,0.22105443109404865
100003935,22.333333333333332,8.13252448343,22.0,2.8872399055856337,0.807996233654035,0.23673778030292614
100008335,20.75,7.19975858125,20.0,2.750936070300755,0.7767657907096892,0.2239800080774188
100016535,25.0,8.384279218469999,25.0,3.07256564335895,0.818196707670179,0.22001801775643018
100017835,28.0,8.34394922267,25.0,3.0038210367400766,0.824949235874362,0.22850514363531174
100022335,21.0,6.828427216890001,21.0,3.109128980180908,0.8497216568643781,0.31687232255463965
100023935,27.0,8.22085663395,25.0,3.1092056716659826,0.8451209691367174,0.25826607886841363
100030035,20.0,5.80559976853,20.0,2.8540820486977503,0.8111363370840742,0.26474123835169866
100046235,26.0,6.79638031205,23.0,3.063375667847762,0.8284494148702596,0.2534428013561332
100046635,27.0,8.678675347790001,27.0,3.360251991321118,0.8597904365763426,0.26415485600740285
100048635,24.5,8.467968057930001,23.0,2.125576850591428,0.6633408761199746,0.12914624255084645
100053635,24.0,7.75040499585,24.0,2.13937308946564,0.6299133054172896,0.1125862325681493
100055235,26.0,7.04371525769,25.0,2.8901175154604593,0.7921217911147742,0.19242036101092683
100058435,25.333333333333332,8.50546639517,25.0,3.2481048454496255,0.8554417461775659,0.2767050579424774
100059035,25.5,8.58287234419,25.0,3.1060336123023244,0.8266445916636116,0.2307398447147481
100060235,26.0,8.71732854213,26.0,2.926735575141435,0.8107932095193866,0.20327779126658424
100062535,23.5,8.31134227393,23.0,2.8760331616617942,0.8117581342417832,0.23097019727487159
100063035,26.0,6.48102407747,23.0,2.457407092184175,0.7175303039290606,0.153921859492659
100064135,18.0,5.82211863739,18.0,2.86634899078253,0.8192552631531422,0.3073702533458938
100066235,23.25,7.702656704190001,23.0,3.119857867895558,0.8567459087594633,0.30350449675158836
100068635,23.0,7.367197270189999,22.0,2.855019303379678,0.8124752291765674,0.24239221973156833
100070435,22.0,5.852566525349999,19.0,2.0806301909929346,0.6485819454610544,0.14976913754878113
100072435,31.333333333333332,7.676452844289999,28.0,3.3954542628335718,0.8736330638277006,0.28262365770734366
100073835-2,23.0,8.47711050701,23.0,3.340394158602324,0.8530773610961967,0.2959262180012459
100074735,29.0,9.34135665227,29.0,3.593382751265321,0.883705455408767,0.29651226325270963
100076135,16.0,5.2830545755900005,16.0,2.3590594689752504,0.7096286456782805,0.21524161756931637
100076935,22.0,7.86358981767,22.0,2.8308732435885307,0.8003212896484247,0.22763841660692535
100079835,19.333333333333332,5.90253093641,19.0,2.2218377535366867,0.7037671377979462,0.17766961624760458
100080835,18.5,5.79211165341,18.0,2.9505676979511106,0.8373532278787952,0.34157182974498496
100083435,24.0,6.58992418817,23.0,3.395758940057974,0.8812563303215439,0.3661522419451852
100085435,24.0,7.765463895270001,24.0,3.406070729482256,0.8672042146622715,0.31376497801266273
100090035,22.5,7.69363181091,21.0,2.64716205272232,0.7857532323797397,0.22226261869887134
100090235,23.5,8.41264740671,23.0,2.6073276619082737,0.7465416700643704,0.1715400747752395
100092535,25.0,8.57240711953,25.0,3.1625450042609855,0.8338019270433004,0.24067667746317004
100099635,31.0,9.07736000839,29.0,2.994814210301606,0.8176454808780009,0.18909736258096216
100102535,38.0,9.22934952897,28.0,3.274526156591516,0.8466260072079015,0.23285750774381384
