Site,PC1,PC2,PC3
100062535,0.021827023,-0.06541602,0.02970261
100343135,-0.100398129,0.047471106,0.0695604
101249635,-0.117994986,-0.015823075,-0.010597717
101670535,-0.05745071,0.068728121,0.024770653
101783232,0.04554862,-0.068407478,-0.007745747
102497135,-0.085380422,-0.069669131,-0.062844887
102510535,0.061349003,-0.172394707,-0.125900458
100306735,0.01526887,-0.092182784,0.025235719
101019535,-0.021663924,-0.038089601,0.071974266
101672435,-0.065696745,0.076203569,-0.098917125
101890235,0.081758556,0.003014213,0.04554521
101899235,0.129585302,0.02181008,-0.087853531
101938235,-0.011404068,0.020669225,0.032091701
101947835,0.089202122,0.025573502,-0.052806393
102341635,-0.060747406,-0.03067383,0.047255895
100166235-2,-0.072579439,0.060027965,-0.055734573
100477535-2,-0.107836764,-0.04630238,0.020865444
100835235-2,0.039270649,0.006600259,-0.014220822
101233635-2,-0.095231652,-0.041176192,-0.061097392
101296535-2,-0.007151007,-0.032465408,0.04410466
102193835-2,-0.063895304,0.011326066,0.055477416
102196135-2,-0.008125452,-0.036673726,0.017080822
102401635-2,-0.004998936,0.013757702,-0.078402595
100046235,-0.002407401,0.069000369,-0.057117219
100063035,-0.039318012,0.070249204,-0.035800394
100076135,-0.059533587,0.080592677,-0.075109846
100090035,0.016750055,-0.018828793,0.050589157
100090235,-0.056606544,-0.028300155,-0.006994092
100099635,-0.016337079,-0.009051613,0.093514814
100182835,-0.015820795,0.01013998,0.00632718
100194535,-0.012400887,-0.071780772,0.094707179
100243935,0.042308917,-0.10629969,0.032207043
100254335,0.065541711,-0.023406004,0.04339459
100291735,-0.068494862,0.015046647,-0.000164224
100492135,0.063340954,0.019196143,-0.064258924
100515135,0.012878283,0.064742797,-0.017710117
100604235,-0.054990508,0.032188935,0.017898288
100604635,0.044898344,0.069591452,-0.083995258
100609535,0.066542827,0.017967878,-0.036855288
100610835,0.083788374,-0.0436341,-0.056936682
100681935,-0.038313961,0.049691807,-0.047112316
100685035,-0.051555321,0.019866526,0.049149786
100749835,-0.032574325,0.031277484,0.034831712
100837235,-0.041967658,0.014899547,0.004849348
101334035,-0.021369756,0.02620097,0.022599669
101357635,0.005164916,-0.007721352,0.098031461
101558635,-0.061663323,0.027684698,-0.019506268
101593235,0.10591514,-0.050383149,0.027821966
101594035,0.035582653,-0.070157337,0.06889712
101643835,-0.06369454,0.003941665,0.007463765
101905035,-0.048533458,-0.220997535,-0.224529055
101986035,0.100471783,-0.044676679,0.002982776
102030035,-0.050643869,-0.037502634,0.002714154
102140135,0.127956413,-0.048830176,0.000671094
102166535,0.083870187,-0.086002353,-0.023438206
102177635,-0.022008569,-0.036852611,0.070443241
102190035,-0.029698679,0.013093546,0.074361894
102233135,0.007050922,0.03057443,0.029378556
102253535,-0.048184316,0.04046943,0.015222356
102497835,-0.038208745,-0.037605687,0.024032469
102524135,-0.007227185,0.001869188,0.010019868
102536035,-0.036719876,-0.001314583,0.011902285
102566235,-0.100836532,-0.067983956,-0.094477172
102615535,0.095685477,0.004127821,0.033199097
100002935,0.073506641,-0.032124512,0.031314565
100003935,-0.024118512,0.010496417,0.096492135
100016535,-0.05322423,-0.015836397,-0.001596701
100046635,0.001098991,-0.003209286,0.080631873
100068635,0.048582095,0.07238692,0.070715416
100074735,0.020469261,-0.003345411,-0.192592791
100083435,0.033625377,0.053302269,-0.062976055
100341835,0.039267429,-0.061573523,-0.027539991
100344835,-0.073805721,-0.009642664,-0.01543658
100396135,0.028831791,0.059050441,-0.042237145
100431135,-0.027071567,0.005722447,0.038571562
100432235,0.04459841,-0.010445119,0.071717874
100476535,0.006254751,-0.006806735,0.089006838
100570035,-0.031051057,0.040393445,-0.031566986
100582435,0.000412396,0.073609773,-0.074812283
100589235,-0.055519648,-0.038202164,0.074718297
100597835,-0.118874624,-0.001377999,0.024260512
100598035,-0.052827321,-0.09340732,0.036691079
100638935,-0.037793297,-0.079674134,0.038610884
100766835,-0.023262479,0.041157071,0.062510117
100797835,-0.083682746,0.005549749,-0.008151873
100804035,-0.020945727,0.075401672,-0.046382213
100831735,0.022749467,-0.23425513,-0.170342672
100887835,-0.084648053,0.004327038,0.054994949
100995935,0.062651219,-0.067359304,0.067570985
101020535,-0.005749411,-0.040126215,-0.026345289
101023935,-0.033568444,0.022135335,0.036443082
101038735,-0.055325769,0.035609568,0.041309569
101096535,-0.059433485,0.058759734,0.021265927
101119235,0.007567952,0.003689201,0.067490232
101159335,-0.011394259,0.032493878,0.149558908
101242635,0.030349816,0.062011579,-0.038036836
101304735,-0.107561819,-0.015155586,0.03321353
101576835,0.095636387,0.013765795,-0.033996174
101637635,-0.028361048,0.001788625,0.079759845
101867135,-0.045647643,-0.061657008,0.026033882
101907035,0.112645025,-0.012470715,-0.024685145
102208735,0.075420796,-0.033448621,0.074279659
100053635,-0.027849963,0.044732135,0.066734961
100055235,-0.009979246,0.060886446,-0.050983606
100124135,0.053731632,-0.016442178,0.023773936
100128835,0.08882178,0.034848659,0.034765356
100138335,-0.016994641,-0.160508389,-0.017804425
100228235,-0.115513651,-0.00872543,-0.0539873
100236935,0.035501158,0.045987186,0.074609905
100386035,-0.078216441,-0.002890739,-0.01727848
100528735,0.044308067,0.030644889,0.048795415
100637835,0.041806191,0.024957291,0.004346215
100638035,-0.013267471,0.009523348,-0.005978177
100712235,-0.029253796,-0.146122405,-0.108938604
100713435,0.045210165,0.06708944,-0.089972585
100735535,0.025574812,-0.04699491,0.08843155
101234735,0.018325908,-0.024238683,0.035318702
101391135,-0.060643091,0.050288109,-0.033311664
101399135,0.074122751,0.056528926,-0.10533098
101402335,0.05998822,-0.101955797,0.013907672
101692735,-0.033271368,0.029958445,-0.027606945
101779732,-0.062340234,0.002026395,0.003709863
101920335,0.028371367,-0.002732999,0.009323126
101974135,0.053990286,-0.104642427,0.013892852
101977935,0.023752747,0.002822232,0.043363201
102010035,0.003474762,0.018558145,0.064453352
102027535,-0.046803344,0.026306745,0.064037092
102063535,-0.05408717,0.009721856,0.039416608
102081235,0.069986244,-0.069901451,-0.056186692
102082235,0.072728182,0.011212399,0.051039697
102125035,-0.055822953,-0.100092971,-0.02537225
102209535,0.015464589,0.043869558,-0.012401133
102271835,0.075501708,-0.170473739,-0.027087304
102272535,-0.020635755,-0.00699354,0.034778323
102273235,0.068817187,0.048552827,-0.054037179
102287135,-0.053497872,0.022145476,0.043546909
102291735,0.022025919,0.007407163,0.09729019
102292535,0.065141041,-0.015558522,0.070116038
102334735,-0.023877156,-0.169457953,-0.124673005
102336435,-0.040607223,-0.091689623,-0.075818228
102404235,-0.084611369,-0.137427298,-0.055669374
102551035,0.078791674,0.049882064,0.013278298
