"","taxon","lfc_(Intercept)","lfc_UC_case_control","se_(Intercept)","se_UC_case_control","W_(Intercept)","W_UC_case_control","p_(Intercept)","p_UC_case_control","q_(Intercept)","q_UC_case_control","diff_(Intercept)","diff_UC_case_control","passed_ss_(Intercept)","passed_ss_UC_case_control"
"1","7e464b9b7f9ca86103a675a09263efec",0.0117807644632742,-0.113770136846895,0.181298520507562,0.288691337044875,0.0649799260925733,-0.394089195787714,0.948687033792541,0.696728920068339,1,1,FALSE,FALSE,TRUE,TRUE
"2","41f01f3e3cbf6beb908ae1ebb553208e",0.460021424475644,-0.752930870554087,0.103083660319222,0.217918936817897,4.46260273501235,-3.45509610843628,0.0209548218992218,0.0407852312064317,1,1,FALSE,FALSE,TRUE,TRUE
"3","bc6f21affc11d8c4a5d6454f728e4add",-0.00336307830397827,-0.572809605482936,0.0863055911137659,0.264953838960347,-0.0389670965759929,-2.16192227193456,0.970004677011818,0.0674163160617548,1,1,FALSE,FALSE,TRUE,TRUE
"4","c2ba82ad21732bcd0ef11c61560cf91c",0.0227656029987545,-0.381302984310715,0.262758068778389,0.465865290145712,0.0866409283056312,-0.818483352111191,0.931647149457826,0.420814861792877,1,1,FALSE,FALSE,TRUE,TRUE
"5","250a576e3788b3f444938c7b08afb2e3",-0.163895817602271,0.242174083659179,0.316192887920798,0.434067874794061,-0.518341252644886,0.557917546360868,0.607786032882329,0.580783324891027,1,1,FALSE,FALSE,TRUE,TRUE
"6","eedb6e6a512baecd8df273d5495ca5c0",-0.373496442942157,0.0559545597127487,0.15248615301856,0.250333124127809,-2.44937940625137,0.223520398699538,0.0498327285440359,0.830546512476442,1,1,FALSE,FALSE,TRUE,TRUE
"7","ed32eeb458a2b9bdee12e2db96fcb98b",-0.0583168558446461,-0.000539785283667353,0.384361637045609,0.464212542971022,-0.151723924096322,-0.00116279771376416,0.880455284467191,0.999080184015576,1,1,FALSE,FALSE,TRUE,TRUE
"8","645dd8b575c7e7c0952933bbe90b4bb9",-0.270150832799586,0.0999752874240996,0.117260898015325,0.258595745157879,-2.30384414047621,0.386608400548363,0.0546804849974518,0.710529669714005,1,1,FALSE,FALSE,TRUE,TRUE
"9","0f898170dbe4592000abdcde0dd2ba2e",0.045192342721315,-0.176002236987991,0.187664286849051,0.344243821575915,0.240814826731875,-0.511272028593774,0.811234900775473,0.612670476761813,1,1,FALSE,FALSE,TRUE,TRUE
"10","b5c3abd1c966bb0457d8dfe34c35b160",0.099471572328145,-0.284550744712072,0.189166005185341,0.330046146186337,0.525842749761962,-0.862154422949756,0.604031157173765,0.397502915347924,1,1,FALSE,FALSE,TRUE,TRUE
"11","ca39c1dfb5e738c293917a0ab7391c33",-0.370392646418737,0.289992516086802,0.145642548872901,0.285310683511864,-2.54316234702794,1.01640959433173,0.0315466750580112,0.335978140362907,1,1,FALSE,FALSE,TRUE,TRUE
"12","7d669e880492b330a9c9c649f65c2ba6",-0.118327136234316,-0.348086977306316,0.179393768380159,0.275842753904526,-0.659594462520934,-1.26190364756435,0.516683186012531,0.220819706231104,1,1,FALSE,FALSE,TRUE,TRUE
"13","632a77028290d1ecbd9bfe2958610b8c",-0.10233706116006,0.119056570774759,0.187206991176186,0.308317143491497,-0.546651919979569,0.386149694520772,0.588409753635833,0.701941398365663,1,1,FALSE,FALSE,TRUE,TRUE
"14","5b239eddc0c4c102c7f721bae475cf22",-0.0243196736299774,0.00829360537045101,0.301183721700403,0.424161705960017,-0.080746972288791,0.0195529328883659,0.936179465398688,0.984529479516838,1,1,FALSE,FALSE,TRUE,TRUE
"15","51c79d7c5c2260b32f6ad5b82272898e",-0.313620545570692,-0.107518994507723,0.190598467612349,0.271902846170541,-1.64545155844879,-0.395431662529513,0.160795766955195,0.708832064951723,1,1,FALSE,FALSE,TRUE,TRUE
"16","20f887a0f58476d52027e0798805c1d2",0.00682827876736188,-0.229508761592423,0.24411625971095,0.379546812160021,0.0279714213852327,-0.604691580167085,0.97803086406046,0.553863397305918,1,1,FALSE,FALSE,TRUE,TRUE
"17","3a4c1eb8dbc9f93fbbfbd8702754c0df",-0.123486648000342,0.0368123968541966,0.185958950310718,0.355381853183963,-0.664053264411359,0.103585471583268,0.512985872530798,0.918359058423775,1,1,FALSE,FALSE,TRUE,TRUE
"18","969732ae717bf5a9282f4781499aadb4",0.171976855355808,-0.404690099742557,0.23632221091676,0.390672488067467,0.727721929685159,-1.03588072388826,0.472244848999545,0.308271169618452,1,1,FALSE,FALSE,TRUE,TRUE
"19","81b95cf5e2e0e3f7579b7dfa4b2ebed0",0.178565622286936,-0.442748796119233,0.281991700372628,0.401662076575996,0.633230063335113,-1.10229175702492,0.531083318501777,0.278556471319739,1,1,FALSE,FALSE,TRUE,TRUE
"20","26de4690cd2c89c490c37a8d1418d67a",-0.00967209002590622,-0.258139913615062,0.252562961982878,0.367737495442433,-0.0382957578180521,-0.701967889634122,0.969744410059589,0.488936050571225,1,1,FALSE,FALSE,TRUE,TRUE
"21","c5bd025300b4ef0c652dd11cef56ac29",-0.282034646965893,0.301487973067554,0.267155966845308,0.394148287092501,-1.0556928609766,0.764910017221004,0.303103152542349,0.452835971506869,1,1,FALSE,FALSE,TRUE,TRUE
"22","95251fbafeb9956f566a3da93d145d63",0.0082107716255059,-0.101720291456148,0.217729278838779,0.347690408359806,0.0377109209624751,-0.292559958544738,0.970159974677761,0.771807804122107,1,1,FALSE,FALSE,TRUE,TRUE
"23","cb3f42ad378ddeda014d895db355586b",-0.234263592140348,0.367033974006161,0.161038876576654,0.299947843322482,-1.45470210125838,1.2236593200357,0.156135810359805,0.230605039108384,1,1,FALSE,FALSE,TRUE,FALSE
