"","taxon","lfc_(Intercept)","lfc_UC_case_control","se_(Intercept)","se_UC_case_control","W_(Intercept)","W_UC_case_control","p_(Intercept)","p_UC_case_control","q_(Intercept)","q_UC_case_control","diff_(Intercept)","diff_UC_case_control","passed_ss_(Intercept)","passed_ss_UC_case_control"
"1","7e464b9b7f9ca86103a675a09263efec",0.0955418478182787,-0.0645759009087652,0.133316204575757,0.206984865601631,0.716655924329039,-0.311983684029584,0.475873053243855,0.755942283205789,1,1,FALSE,FALSE,TRUE,TRUE
"2","41f01f3e3cbf6beb908ae1ebb553208e",-0.0466601768212128,0.147588856462989,0.0954336451180268,0.16945058614916,-0.488927953695012,0.870984632257769,0.634494999619751,0.402371324745686,1,1,FALSE,FALSE,TRUE,TRUE
"3","bc6f21affc11d8c4a5d6454f728e4add",-0.579707869488952,0.891098836736597,0.0927981738440265,0.175961672879871,-6.24697497240963,5.06416438393917,1.56371289111642e-05,0.000139889082369111,0.000860042090114031,0.00769389953030113,TRUE,TRUE,FALSE,FALSE
"4","c2ba82ad21732bcd0ef11c61560cf91c",-0.00501732560167579,-0.00644927993658213,0.183526000666345,0.293265406653817,-0.0273385001768628,-0.021991274082303,0.978282011861392,0.982529122739578,1,1,FALSE,FALSE,TRUE,TRUE
"5","250a576e3788b3f444938c7b08afb2e3",0.0933574809032763,-0.0060571179800272,0.219917464474594,0.329417322868157,0.424511446266067,-0.0183873693322784,0.67230460340114,0.985374495518967,1,1,FALSE,FALSE,TRUE,TRUE
"6","eedb6e6a512baecd8df273d5495ca5c0",-0.0285320866468785,-0.117411526936403,0.0902378120290037,0.162489771168287,-0.316187704525768,-0.7225779573214,0.756217200100687,0.481054226924368,1,1,FALSE,FALSE,TRUE,TRUE
"7","ed32eeb458a2b9bdee12e2db96fcb98b",-0.0617779612710103,0.290550027114017,0.198597922252256,0.269601138519277,-0.311070531707482,1.07770326457001,0.756742433202355,0.28514959881465,1,1,FALSE,FALSE,TRUE,TRUE
"8","645dd8b575c7e7c0952933bbe90b4bb9",0.0557164102913019,-0.151649354836485,0.136553303833533,0.195313228560162,0.40801949661521,-0.776441800457832,0.688071769507019,0.44757158568009,1,1,FALSE,FALSE,TRUE,TRUE
"9","0f898170dbe4592000abdcde0dd2ba2e",0.00247536646311154,0.154030915292712,0.154082418791498,0.238650548408901,0.0160652103109906,0.645424518483809,0.987221873469935,0.520476244119157,1,1,FALSE,FALSE,TRUE,TRUE
"10","b5c3abd1c966bb0457d8dfe34c35b160",0.119052625746294,-0.0428461095147866,0.151452453859365,0.231443362654341,0.786072610331187,-0.185125678366404,0.435080695404512,0.853787615329044,1,1,FALSE,FALSE,TRUE,FALSE
