"","taxon","lfc_(Intercept)","lfc_Both_case_control","se_(Intercept)","se_Both_case_control","W_(Intercept)","W_Both_case_control","p_(Intercept)","p_Both_case_control","q_(Intercept)","q_Both_case_control","diff_(Intercept)","diff_Both_case_control","passed_ss_(Intercept)","passed_ss_Both_case_control"
"1","7e464b9b7f9ca86103a675a09263efec",-0.00876096883363731,-0.0649611922030879,0.23093093718326,0.315673203384019,-0.0379376143382853,-0.205786210253843,0.96991717685351,0.83795215572369,1,1,FALSE,FALSE,TRUE,TRUE
"2","c2ba82ad21732bcd0ef11c61560cf91c",0.0643339354869452,-0.158620771218694,0.297892155881223,0.417015925584655,0.215963845360859,-0.380371015798277,0.830269654383741,0.705968771008198,1,1,FALSE,FALSE,TRUE,TRUE
"3","250a576e3788b3f444938c7b08afb2e3",-0.0922371110152287,0.339186443562991,0.328850026736832,0.529572492894142,-0.280483817898677,0.640491052904427,0.780451420597331,0.525252068533671,1,1,FALSE,FALSE,TRUE,TRUE
"4","ed32eeb458a2b9bdee12e2db96fcb98b",-0.515379110558943,1.04730401836586,0.299244699224512,0.407654139029841,-1.722266465854,2.56909943526708,0.0938487243279697,0.0146171085979471,1,0.570067235319936,FALSE,FALSE,TRUE,TRUE
"5","0f898170dbe4592000abdcde0dd2ba2e",0.0940312983463936,-0.0980699387356462,0.315859127454132,0.485157940354987,0.2977001143019,-0.20214023223837,0.767272473476829,0.840698443240724,1,1,FALSE,FALSE,TRUE,TRUE
"6","b5c3abd1c966bb0457d8dfe34c35b160",-0.193536800958572,0.438926610547403,0.259658912529203,0.373325155048074,-0.745350117480778,1.17572203376138,0.4639494599877,0.252273080925748,1,1,FALSE,FALSE,TRUE,TRUE
"7","7d669e880492b330a9c9c649f65c2ba6",-0.219786694744737,0.25158130773647,0.206740841060601,0.304566519783346,-1.06310245047475,0.826030740067663,0.297510279336525,0.416302516670957,1,1,FALSE,FALSE,TRUE,TRUE
"8","632a77028290d1ecbd9bfe2958610b8c",0.0235609049018028,0.0428708481535347,0.240209237783114,0.357332434279012,0.0980849242903638,0.119974690346918,0.9222910181868,0.905025675064286,1,1,FALSE,FALSE,TRUE,TRUE
"9","5b239eddc0c4c102c7f721bae475cf22",0.167995135641514,-0.245021665640589,0.301772054036478,0.442343927502033,0.556695470619048,-0.553916648125487,0.580689937576893,0.582573202862347,1,1,FALSE,FALSE,TRUE,TRUE
"10","20f887a0f58476d52027e0798805c1d2",-0.0897537809775979,0.213882372487808,0.246698116377114,0.334836266890481,-0.363820292978631,0.638767044185703,0.719315252161801,0.529284778821309,1,1,FALSE,FALSE,TRUE,TRUE
