"","Intercept..Est","Intercept..SE","Intercept..t.val","Intercept..pval","Both_case_control.Est","Both_case_control.SE","Both_case_control.t.val","Both_case_control.pval","F1_SDC_AGE_CALC.Est","F1_SDC_AGE_CALC.SE","F1_SDC_AGE_CALC.t.val","F1_SDC_AGE_CALC.pval","A_HS_DENTAL_VISIT_LAST.Est","A_HS_DENTAL_VISIT_LAST.SE","A_HS_DENTAL_VISIT_LAST.t.val","A_HS_DENTAL_VISIT_LAST.pval","PM_BIOIMPED_BMI.Est","PM_BIOIMPED_BMI.SE","PM_BIOIMPED_BMI.t.val","PM_BIOIMPED_BMI.pval","PM_BIOIMPED_WEIGHT.Est","PM_BIOIMPED_WEIGHT.SE","PM_BIOIMPED_WEIGHT.t.val","PM_BIOIMPED_WEIGHT.pval","PM_WAIST_AVG.Est","PM_WAIST_AVG.SE","PM_WAIST_AVG.t.val","PM_WAIST_AVG.pval","PM_WAIST_HIP_RATIO.Est","PM_WAIST_HIP_RATIO.SE","PM_WAIST_HIP_RATIO.t.val","PM_WAIST_HIP_RATIO.pval","Intercept..pval.holm","Both_case_control.pval.holm","F1_SDC_AGE_CALC.pval.holm","A_HS_DENTAL_VISIT_LAST.pval.holm","PM_BIOIMPED_BMI.pval.holm","PM_BIOIMPED_WEIGHT.pval.holm","PM_WAIST_AVG.pval.holm","PM_WAIST_HIP_RATIO.pval.holm","Both_case_control.rab.all","Both_case_control.rab.win.0","Both_case_control.rab.win.1","Both_case_control.diff.btw","Both_case_control.diff.win","Both_case_control.effect","Both_case_control.overlap","A_SLE_LIGHT_EXP.rab.all","A_SLE_LIGHT_EXP.rab.win.0","A_SLE_LIGHT_EXP.rab.win.1","A_SLE_LIGHT_EXP.diff.btw","A_SLE_LIGHT_EXP.diff.win","A_SLE_LIGHT_EXP.effect","A_SLE_LIGHT_EXP.overlap"
"f2d099ef5556f02539ded15181a3d994",-1834.29959133389,NA,NA,NA,-210.507585094229,NA,NA,NA,18.1561793318197,NA,NA,NA,37.4417283454308,NA,NA,NA,104.939115089006,NA,NA,NA,-25.5098125002769,NA,NA,NA,-5.72495642410312,NA,NA,NA,626.652773470596,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.47276597547236,5.00123528099021,4.19624128543602,-0.717274746565519,1.64287593305166,-0.370195041542981,0.377432071143519,4.47276597547236,5.21149727536746,4.47205350445031,-0.563112634706777,2.25616134331189,-0.31559946234345,0.426356966101453
"304a3df568087b761af6bca76a3816aa",3642.00005609686,NA,NA,NA,414.532729243514,NA,NA,NA,-36.0124367914613,NA,NA,NA,-71.3984618303189,NA,NA,NA,-209.085721877244,NA,NA,NA,51.2793541380054,NA,NA,NA,10.7967514369317,NA,NA,NA,-1221.83060441371,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-4.60134244525521,-5.01975584755695,-4.42440469186733,-0.0499234491556253,4.23162678112922,-0.0112228731764121,0.494163431489425,-4.60134244525521,-5.12451095846732,-4.49985474357961,0.484716921143153,3.78545919083448,0.100798428057727,0.437500322930131
"2ddd18d49a8163e0fc79e28ea6273254",7522.93183291094,NA,NA,NA,855.437049224278,NA,NA,NA,-74.1763740040135,NA,NA,NA,-149.23203411948,NA,NA,NA,-428.044422481306,NA,NA,NA,104.286785237427,NA,NA,NA,23.3007446461964,NA,NA,NA,-2592.74778234482,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.451878698325783,-0.458558649546331,-0.387909596199149,0.420442470369985,4.15988373040542,0.0674094009051951,0.45312506013283,-0.451878698325783,-2.85563951890608,0.226859090740783,3.1654525503933,3.26592956174894,0.844476306595141,0.156253315143681
"42604f7f8bfc866837a5370b4b667382",-3143.78366614955,NA,NA,NA,-366.511979820301,NA,NA,NA,31.2792557813069,NA,NA,NA,64.9259100819493,NA,NA,NA,183.097620748864,NA,NA,NA,-44.6025032055892,NA,NA,NA,-9.88146707978141,NA,NA,NA,1048.79329928709,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.552529376819514,1.53824583360811,0.0970364231451137,-1.46654882189479,2.54026844699666,-0.566769940425492,0.190662110902671,0.552529376819514,-0.623743117367803,1.08685605472037,1.95965605413668,2.94097712159661,0.716170569039679,0.170545551162404
"de4edf45ab75f6490e1ada65b0e0306f",-1850.96053683705,NA,NA,NA,-212.506899467653,NA,NA,NA,18.2803609609039,NA,NA,NA,38.1482809941577,NA,NA,NA,107.91093623471,NA,NA,NA,-26.3807080491641,NA,NA,NA,-5.44731586401156,NA,NA,NA,588.875592787662,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-4.45656011679906,-4.35719411320478,-4.52692637686556,0.0960935167956816,5.0954455864148,0.0154878728314945,0.494163431489425,-4.45656011679906,-4.87677290058278,-4.17656766154234,0.914993845445289,5.01454985347176,0.207296914506831,0.403101279361307
"e1a9800482df461df81429b3b8f859a1",-1781.9281877529,NA,NA,NA,-206.213905882222,NA,NA,NA,17.6743259587286,NA,NA,NA,36.0781873323249,NA,NA,NA,103.839750430078,NA,NA,NA,-25.2382114962284,NA,NA,NA,-5.66191240866915,NA,NA,NA,599.127084800267,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.380897684714547,-0.0347454520198776,1.08753781830634,0.994276107552684,1.52253212700283,0.321930087643596,0.291829111493151,0.380897684714547,-0.423188274392084,0.454018295932588,1.40589516294691,3.35568703431792,0.407260353227751,0.302326754637769
"c38ee4acf990375c9b9df651cf77bf7c",-2020.23544663357,NA,NA,NA,-210.94607436447,NA,NA,NA,19.2418902944644,NA,NA,NA,32.2101587159311,NA,NA,NA,107.284633019806,NA,NA,NA,-25.3881199690388,NA,NA,NA,-6.70476366650214,NA,NA,NA,777.300656552363,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.779017830879291,-0.0753314580100417,1.09689561087187,1.5364719065751,6.33534158436197,0.261396790348754,0.328125247833774,0.779017830879291,-0.213793491835993,0.961884882303863,1.68406826811054,5.79988062310937,0.245717067430586,0.341086156513212
"321b7763c5946d79f50284281735d5b0",-11986.9458378625,NA,NA,NA,-1377.70057923328,NA,NA,NA,117.96389958315,NA,NA,NA,242.388560940173,NA,NA,NA,686.573454610397,NA,NA,NA,-166.824145149441,NA,NA,NA,-38.2896382944924,NA,NA,NA,4186.21846783422,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.86165744191711,-1.56485996252857,-4.5600404674251,-2.73195835907306,6.66430625039749,-0.297858708969322,0.385214160662816,-3.86165744191711,-5.43947739827107,-1.45267765848783,3.01581814556704,5.68442796588219,0.506397521525772,0.294574880995797
"01491b7ad3b35c7e644dd24ae831bee2",1591.18309906065,NA,NA,NA,180.071538326866,NA,NA,NA,-15.5567307573005,NA,NA,NA,-32.1550789663068,NA,NA,NA,-89.4490238676302,NA,NA,NA,21.7974963557371,NA,NA,NA,4.91384949003491,NA,NA,NA,-561.082932138087,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.28683224049022,1.00086057057184,2.18509650595063,1.15450670317438,1.31960666978509,0.326019876096664,0.256809740426664,1.28683224049022,0.814068495590337,1.28683224049022,0.796758646348415,4.77576259773531,0.290554530501061,0.434108862921588
"a67690654fca1914946ee270222b7247",-5586.52875303291,NA,NA,NA,-642.424887461963,NA,NA,NA,55.401118455009,NA,NA,NA,114.301226812064,NA,NA,NA,322.139309847955,NA,NA,NA,-78.5098382654624,NA,NA,NA,-17.3815414746492,NA,NA,NA,1883.41708086915,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.77790533254447,2.94814244731399,2.71379489936905,-0.204539166228696,1.51128350699169,-0.0721441478390304,0.445312570380321,2.77790533254447,3.13379538098236,2.70508564206956,-0.269366112882875,1.36770388518967,-0.146733862777513,0.421875407299039
