"","Intercept..Est","Intercept..SE","Intercept..t.val","Intercept..pval","CASE_CONTROL.Est","CASE_CONTROL.SE","CASE_CONTROL.t.val","CASE_CONTROL.pval","F1_SDC_AGE_CALC.Est","F1_SDC_AGE_CALC.SE","F1_SDC_AGE_CALC.t.val","F1_SDC_AGE_CALC.pval","A_HS_DENTAL_VISIT_LAST.Est","A_HS_DENTAL_VISIT_LAST.SE","A_HS_DENTAL_VISIT_LAST.t.val","A_HS_DENTAL_VISIT_LAST.pval","PM_BIOIMPED_BMI.Est","PM_BIOIMPED_BMI.SE","PM_BIOIMPED_BMI.t.val","PM_BIOIMPED_BMI.pval","PM_BIOIMPED_WEIGHT.Est","PM_BIOIMPED_WEIGHT.SE","PM_BIOIMPED_WEIGHT.t.val","PM_BIOIMPED_WEIGHT.pval","PM_WAIST_AVG.Est","PM_WAIST_AVG.SE","PM_WAIST_AVG.t.val","PM_WAIST_AVG.pval","PM_WAIST_HIP_RATIO.Est","PM_WAIST_HIP_RATIO.SE","PM_WAIST_HIP_RATIO.t.val","PM_WAIST_HIP_RATIO.pval","PM_STANDING_HEIGHT_AVG.Est","PM_STANDING_HEIGHT_AVG.SE","PM_STANDING_HEIGHT_AVG.t.val","PM_STANDING_HEIGHT_AVG.pval","A_SLE_LIGHT_EXP.Est","A_SLE_LIGHT_EXP.SE","A_SLE_LIGHT_EXP.t.val","A_SLE_LIGHT_EXP.pval","NUT_VEG_DAY_QTY.Est","NUT_VEG_DAY_QTY.SE","NUT_VEG_DAY_QTY.t.val","NUT_VEG_DAY_QTY.pval","NUT_JUICE_DAY_QTY.Est","NUT_JUICE_DAY_QTY.SE","NUT_JUICE_DAY_QTY.t.val","NUT_JUICE_DAY_QTY.pval","REFINED_GRAIN_SERVINGS_DAY_QTY.Est","REFINED_GRAIN_SERVINGS_DAY_QTY.SE","REFINED_GRAIN_SERVINGS_DAY_QTY.t.val","REFINED_GRAIN_SERVINGS_DAY_QTY.pval","PM_BIOIMPED_FFM.Est","PM_BIOIMPED_FFM.SE","PM_BIOIMPED_FFM.t.val","PM_BIOIMPED_FFM.pval","SALT_SEASONING.Est","SALT_SEASONING.SE","SALT_SEASONING.t.val","SALT_SEASONING.pval","NUTS_SEEDS_SERVINGS_PER_DAY.Est","NUTS_SEEDS_SERVINGS_PER_DAY.SE","NUTS_SEEDS_SERVINGS_PER_DAY.t.val","NUTS_SEEDS_SERVINGS_PER_DAY.pval","Intercept..pval.holm","CASE_CONTROL.pval.holm","F1_SDC_AGE_CALC.pval.holm","A_HS_DENTAL_VISIT_LAST.pval.holm","PM_BIOIMPED_BMI.pval.holm","PM_BIOIMPED_WEIGHT.pval.holm","PM_WAIST_AVG.pval.holm","PM_WAIST_HIP_RATIO.pval.holm","PM_STANDING_HEIGHT_AVG.pval.holm","A_SLE_LIGHT_EXP.pval.holm","NUT_VEG_DAY_QTY.pval.holm","NUT_JUICE_DAY_QTY.pval.holm","REFINED_GRAIN_SERVINGS_DAY_QTY.pval.holm","PM_BIOIMPED_FFM.pval.holm","SALT_SEASONING.pval.holm","NUTS_SEEDS_SERVINGS_PER_DAY.pval.holm","CASE_CONTROL.rab.all","CASE_CONTROL.rab.win.0","CASE_CONTROL.rab.win.1","CASE_CONTROL.diff.btw","CASE_CONTROL.diff.win","CASE_CONTROL.effect","CASE_CONTROL.overlap"
"7e464b9b7f9ca86103a675a09263efec",-24.98811429177,54.731547055167,-0.437989680057858,0.656623553995619,1.04812226154229,0.573151326491487,1.83372502040952,0.0844886006179272,0.0224131330842478,0.0392123875265948,0.569999441353713,0.567047164873984,-0.0689217617891567,0.353788776360961,-0.193226005545777,0.755372412688321,0.195100700831802,1.02024274031105,0.166910313639407,0.765508993178976,-0.0919827139163624,0.357950145334658,-0.235072710291338,0.751984361469289,-0.0135951767073402,0.0999236052118284,-0.15173459867195,0.840845095021102,4.17794213467441,10.0136974163681,0.444168586108494,0.65804831991606,0.138367976914137,0.306581177521686,0.432587031852089,0.65918021045465,-0.2509459413634,0.539580071014645,-0.462638705734015,0.648566727305474,-0.244255386994526,0.292985793002261,-0.853428080286468,0.423214680239246,-0.429204296709756,0.216834041024769,-1.97343798389634,0.082408960481307,0.419867507610402,0.321666966999543,1.33121803146042,0.211706318578293,0.017938805615571,0.127114863590791,0.140038600601562,0.783439189741035,0.160673707808921,0.201735806768826,0.807648219047577,0.441691690890667,-0.260035336658752,0.433361111545976,-0.641825941174092,0.544328398475038,1,0.999491032307044,1,1,1,1,1,1,1,1,1,0.912332376120371,1,1,1,1,2.09384260982423,1.84734894810019,2.29031623351534,0.535916053638334,2.2114568055012,0.181845921483495,0.389067526167307
"41f01f3e3cbf6beb908ae1ebb553208e",-101.772097958542,111.726783639397,-0.925875993497723,0.401627501017201,0.0484789820625632,1.17000811584957,0.0468382837197145,0.642760128593199,0.0273535492426592,0.0800465942019166,0.350179194904229,0.617741183375604,-0.00228222493713249,0.722210209601531,-0.0110597551775634,0.629668420645929,2.24533734081099,2.0826825850821,1.09463811984291,0.341397939798805,-0.824460273684093,0.7307050612179,-1.14443809604488,0.330725217312263,0.218807849122984,0.203980037485831,1.09111481863071,0.357804310108857,-22.4005224249613,20.4415600301093,-1.11832883419702,0.349784331811978,0.575780294375533,0.625842511894486,0.936768254546436,0.397471796248185,-0.66263197744598,1.10147710222075,-0.603303209552445,0.543555277345238,-0.384267617262653,0.598089439554597,-0.650363571852413,0.504923159506014,0.152533390423143,0.442636309235176,0.346795915585665,0.601521537655725,0.208947554391568,0.656638037102702,0.32477588927858,0.630281794395263,0.0651288774190335,0.25948718108488,0.245695051618245,0.651042336608774,-0.255304826185216,0.411815379756419,-0.630805302816924,0.528296582412727,-0.476765006948025,0.884645981203906,-0.536020115302487,0.591178097133157,0.995968422452867,1,1,0.998294506465314,0.990696939481785,0.985739144873727,0.985947990968607,0.994845003274461,0.994422570518701,1,0.998958046042933,0.99535915478684,1,1,1,0.988207216909583,-4.28590458041004,-4.49882222025786,-4.12095476341579,0.455386877486779,6.2232572858979,0.0651395559738513,0.473587506207567
"bc6f21affc11d8c4a5d6454f728e4add",82.1418364483759,89.0409285743458,0.941032515327278,0.394379402709072,-0.472661583621678,0.932440778130755,-0.519716148247407,0.491335265499617,-0.0187082595256556,0.0637933255105288,-0.287921108246617,0.536021681188358,-0.0107215683839303,0.575567161195155,-0.0137828199226512,0.565553766775525,-1.28883231468627,1.65979888850875,-0.790150951687404,0.445829433114689,0.317672523913744,0.582337153594328,0.553706844557676,0.529195265953417,0.081607686119593,0.162562380807351,0.519481342658317,0.533548730272982,-10.1184850763506,16.2909503639139,-0.642801383236275,0.49598610501807,-0.535134414231554,0.498766693045087,-1.09279215046621,0.347207287715057,0.352724853570355,0.877824822216854,0.417210369682003,0.548771177195081,0.43204044495763,0.476648815384609,0.901135276975251,0.405882363835806,0.284000595312675,0.352760069798729,0.818269204106593,0.412021666473994,-0.44273253627001,0.523309260826544,-0.858575872864897,0.432099577925478,0.264787534178805,0.206798932219416,1.30298381110022,0.305100935137095,0.338828218705633,0.328197256022846,1.03770707665895,0.382672855390987,-0.0533350680659765,0.705020739522865,-0.0758135560647939,0.581493351891113,0.985884924614994,0.979724916238953,1,0.995093941847697,0.995569729053236,1,1,0.995017281239139,0.97239749139344,0.987291864985374,0.972902127660319,1,0.999784665911468,0.937963932762755,0.95846363157584,1,-4.62150296834123,-4.34141063744666,-4.88125051755192,-0.506581866712883,4.97174617671663,-0.0902463886979446,0.457050988358413
"c2ba82ad21732bcd0ef11c61560cf91c",41.7865464867665,110.945329339457,0.373422531399103,0.666009646889797,-0.29847000213158,1.16182468978723,-0.256294250409442,0.694506212975535,-0.0121469713312737,0.0794867216879405,-0.155104377195619,0.730104419043063,-0.0553462066063729,0.717158831092549,-0.07383558922644,0.796596687654561,-0.339725497903007,2.06811561010522,-0.160738967674608,0.734180003738799,0.0503264743517535,0.725594266890197,0.0634207795370135,0.750900397691037,0.0661401738836411,0.202553333232805,0.33428497006433,0.689631973859859,-8.44712174708899,20.2985849576811,-0.418104120457239,0.6386261680737,-0.226917545430613,0.621465161127961,-0.362561648226647,0.670225597281072,0.198611752181989,1.09377300487025,0.189927763841759,0.718436110446153,-0.601850955350144,0.593906203010375,-1.0254827485026,0.353340216645268,0.526535229070753,0.439540363608765,1.20649526207949,0.265004837636819,0.494322871183936,0.652045292186189,0.766585033534062,0.449795688994927,0.0658721002137082,0.257672241400474,0.264016683776483,0.708440433121139,0.0396082850073086,0.408935005965916,0.0944949984760274,0.808216864672527,0.572908286688246,0.878458472860627,0.654908105852633,0.528991963252198,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-0.274530003152859,0.474269778473103,-0.644937933578361,-0.354351504700442,6.13755676756397,-0.0549162988903781,0.474046853925652
"250a576e3788b3f444938c7b08afb2e3",12.3166371989578,68.4341603852702,0.186584336002449,0.838723643056757,0.441233295907211,0.716645735641523,0.620133897294505,0.545277949200424,-0.0227237088828539,0.0490296174960949,-0.472771883626155,0.641633756014878,-1.11221534378473,0.442363484437789,-2.4881056427907,0.0235565218553986,-0.511930995057574,1.27567114541781,-0.405881253361448,0.688283943477225,0.234779246605696,0.447566695512405,0.5325957839644,0.600754174972477,-0.124089414469112,0.124940521386105,-1.00067370686152,0.325997023702869,29.4834414232533,12.5207309479224,2.35077081892083,0.0235196127155329,-0.08823678030517,0.383336971134334,-0.234590206991099,0.813259491889399,-0.891345662231654,0.674669566407326,-1.31222261615699,0.201069553224367,-0.171928599296105,0.36633784038139,-0.466692617450286,0.646363918155995,0.0619108341112986,0.271120703486023,0.231550892679691,0.810089377635882,0.435729623076405,0.402199645263123,1.07715795737122,0.290897328907236,-0.130627971204468,0.158939394743505,-0.832286256880677,0.416126133434033,-0.435549959195667,0.252242468899231,-1.73849782873961,0.102995617547253,0.908109972661221,0.54185758320304,1.68325970865591,0.101896521045988,1,1,1,0.745545546298204,1,1,1,0.96669109635231,1,1,1,1,1,1,1,1,7.27202423397831,7.23773650008198,7.29010995489023,0.209352303387468,3.3679006580079,0.0492235199951461,0.471966912259631
"eedb6e6a512baecd8df273d5495ca5c0",-90.56718019194,94.7744108641174,-0.965087336584417,0.399630151975885,-0.264546991034817,0.992482073445974,-0.272023694340284,0.563984001383573,-0.0272851584456502,0.0679010758212734,-0.388414977387959,0.560122765759561,0.043282960921392,0.612628815628949,0.0685493278418839,0.563896027513267,1.62420230095674,1.76667589085157,0.930478919329989,0.416442352953085,-0.461910758648787,0.619834738247449,-0.754870442631062,0.467108856315762,0.136919408517798,0.173030022444352,0.796498228293821,0.470974975455471,-11.9740346694704,17.3399497048974,-0.705604556834416,0.475554971755054,0.563673163525022,0.530883047255322,1.07163045395695,0.369151105256473,-0.211678285791201,0.934349312159701,-0.228094619006579,0.520214176230953,-0.21808896471005,0.507340965446437,-0.448819911846891,0.544638371718129,-0.24354103260024,0.375474833055504,-0.667858150315314,0.497433946704222,0.656293710021112,0.557005948709997,1.20328346486896,0.317557959098586,-0.297722002407587,0.220115033414764,-1.35047062768615,0.283864167985906,0.360736206674946,0.349330381935695,1.06124139939734,0.38420101215741,0.0378005577985051,0.750418108897792,0.0501552137722269,0.603444238108066,0.984182757996035,1,1,0.993581214888984,0.983064755561592,0.999522588676734,0.992594153660581,0.991670087275594,0.975070276409569,1,1,0.999221907599543,0.981308359377558,0.967793134156767,0.96988666384145,1,-4.46143466381903,-4.39730893627081,-4.51230225350854,-0.136076447952637,5.5608807178767,-0.02010146935234,0.489205328623519
"ed32eeb458a2b9bdee12e2db96fcb98b",191.740333691836,107.389222390442,1.78954567734871,0.103093591115582,-1.60422465763313,1.12458497111239,-1.42702686939398,0.179519952602387,-0.0204817727015064,0.0769389507720146,-0.267254646170082,0.738869440413516,-0.756555034055475,0.69417189222834,-1.10147654863041,0.342964174217864,-2.78323932248439,2.00182674209925,-1.39021200368012,0.198316973711394,0.964277503907375,0.702336948803748,1.37361249830413,0.202901190319737,0.045333826916378,0.196060934497826,0.231263696375526,0.734654349419636,-25.4493079342528,19.6479587487821,-1.30466282000155,0.238017951193434,-0.953394922979975,0.601545471031807,-1.58709369971629,0.145056608231932,-1.46215630960031,1.05871453231966,-1.38897678821696,0.204161320838416,0.380204229076243,0.574869854313566,0.663434967817707,0.524645484258141,-0.322533669376427,0.425451870197571,-0.764497145863079,0.47554932569554,0.413921433694991,0.631145423679592,0.658577622639487,0.53040148073666,-0.0833169075956408,0.249413128072604,-0.335770794195115,0.698673871345015,-0.236662143260158,0.395827499547494,-0.602360387363131,0.559984001853713,0.278579601865906,0.850301431024259,0.320231216085882,0.691677166473342,0.988470549785338,1,1,0.992594952278701,1,1,1,0.998173409924215,0.999265703397816,0.997886424170851,1,1,1,1,1,1,2.26052509414561,2.33778310777974,1.37087807912289,-0.49842414011555,6.53501205503721,-0.0801434059916592,0.474264706336485
"645dd8b575c7e7c0952933bbe90b4bb9",-62.9818955316057,105.935948680386,-0.5986928866908,0.52978880528802,-0.139218471620708,1.10936622069347,-0.124691806152667,0.634504992823329,0.0287314980671445,0.0758977536020627,0.390003908573744,0.569989485616459,0.0826188785975602,0.684777823263325,0.114608764085988,0.622344130058541,1.39515511302765,1.97473648004481,0.712742709326275,0.495141877283646,-0.622496235582172,0.692832384001273,-0.907080584618614,0.419504845534166,0.195503941619735,0.193407686850323,1.02485570676552,0.37038538720166,-16.7990956996052,19.3820674305449,-0.878789736057012,0.437500937708505,0.334675024260363,0.593404894175078,0.567587415729721,0.543249736390414,-0.63282571031811,1.04438719143734,-0.617863746365693,0.527137917869942,0.424111739918332,0.567090272458134,0.755867650360627,0.458096461234877,-0.0075617783716775,0.419694327642656,-0.0220173371267726,0.593550391976238,-0.228254940418153,0.622604277454315,-0.366780498683768,0.594686395078978,0.147925319114562,0.246037877429175,0.609574016063909,0.522715697109089,-0.142144943377043,0.390470856804351,-0.365855810236342,0.633270418594002,-0.541582159550329,0.838794496828966,-0.656541029187379,0.513772734852079,1,1,0.995573747182198,1,0.998575509799233,0.992116612225865,0.998042112049994,0.988288529925991,1,1,1,1,0.996983260492386,1,1,0.997600242926853,-4.43400569733392,-4.50818508791127,-4.32129605654209,0.311960025112813,5.90135436019538,0.0466847170425124,0.474965549361829
"0f898170dbe4592000abdcde0dd2ba2e",41.612143208787,69.8513326441955,0.599119849620861,0.55863906631222,0.271325718793668,0.731486429971819,0.39416286871034,0.66943833320082,0.00148036525663527,0.050044949800751,0.0257308088931594,0.87270991238476,0.116959756313934,0.451524190947191,0.261675757469465,0.770184420801162,-0.738136956865316,1.30208844561729,-0.566165405117924,0.578883073784708,0.195640334414467,0.456835152980549,0.425361224497916,0.676738996923672,0.0199259961713686,0.127527858469328,0.163102991909374,0.851116280694362,5.29938721310115,12.7800171357117,0.402249914604812,0.692942513350719,-0.232981093096449,0.391275324118481,-0.596745460424156,0.560810848761109,-0.489449354207991,0.688640995121741,-0.69632025514379,0.497202557166636,-0.23650505877714,0.373924166009707,-0.628874352512004,0.541015694082731,-0.355303518902579,0.276735220236687,-1.28347921522851,0.240562232225118,0.269362113553862,0.410528616885008,0.65325558685895,0.52187395380782,0.0642200943233547,0.162230799208947,0.405577495761333,0.691093285455273,-0.52620986039388,0.257466044777627,-2.04293257476609,0.0492239490974785,0.0713384729463806,0.553078668270505,0.146449768089242,0.812118651800454,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.998655540433517,1,7.39057700129994,7.20709293658305,7.61876021447595,0.52994617826689,2.30636212133941,0.159078207285587,0.390445569317922
"b5c3abd1c966bb0457d8dfe34c35b160",-20.8483568350369,116.476599253635,-0.177467737855402,0.745515652380468,-1.14120958618029,1.21974840762583,-0.9376186113203,0.384472604354307,0.0205333840874003,0.0834495970506688,0.241405359953783,0.73210518048035,-0.139587247765434,0.752913369744391,-0.193708650366446,0.717055378176927,0.180981099049446,2.17122320121629,0.0809228512826267,0.776340375791714,-0.0730241750573031,0.761769361076177,-0.0932314315102224,0.779839163282286,0.00480421848766479,0.212651794923779,0.0247162062670095,0.744359489616724,8.25586594966833,21.3105874723004,0.387279567594315,0.639438416446223,0.0443726443938995,0.652448813787542,0.0665247156441908,0.775067829965344,-0.835838556825575,1.14830395043415,-0.725449856309261,0.505245446470734,-0.690530481459608,0.623515881327733,-1.10950336441573,0.299257910754014,0.657095973992575,0.461454007056134,1.4254922895559,0.178790037598993,1.18681529030651,0.684553542229915,1.74570547975641,0.107670375105841,0.0760823856830604,0.270518701229498,0.27921696458973,0.699101367177144,-0.309706504599728,0.429322794337182,-0.72416750355814,0.492251887359204,1.46182369210368,0.922254736756706,1.59496726989555,0.143842592846927,1,1,1,1,1,1,1,1,1,1,1,1,0.99084640092612,1,1,0.996558852205925,1.76425089276243,2.04631052692286,0.908800739903458,-0.662738106573528,7.17577776201345,-0.0911607575177325,0.447150736234749
