"","taxon","lfc_(Intercept)","lfc_UC_case_control","se_(Intercept)","se_UC_case_control","W_(Intercept)","W_UC_case_control","p_(Intercept)","p_UC_case_control","q_(Intercept)","q_UC_case_control","diff_(Intercept)","diff_UC_case_control","passed_ss_(Intercept)","passed_ss_UC_case_control"
"1","7e464b9b7f9ca86103a675a09263efec",-0.080756681501599,-0.0411147030339308,0.158216794967603,0.283505666447338,-0.510417882742062,-0.145022508894255,0.612369132630635,0.885370742131764,1,1,FALSE,FALSE,TRUE,TRUE
"2","41f01f3e3cbf6beb908ae1ebb553208e",-0.399494813136707,0.41807002482187,0.131815359547493,0.236225166598954,-3.03071519516487,1.7697946025016,0.0290576400958196,0.136983846943657,1,1,FALSE,FALSE,TRUE,TRUE
"3","bc6f21affc11d8c4a5d6454f728e4add",-0.663371080485309,1.14005124803254,0.107218261045528,0.236725735378423,-6.18710911757486,4.81591596372099,0.000450883133317979,0.00193051931889432,0.0247985723324888,0.106178562539188,TRUE,FALSE,FALSE,TRUE
"4","c2ba82ad21732bcd0ef11c61560cf91c",-0.147252002475339,-0.0728184132205633,0.248880410834181,0.404336847044606,-0.591657663943056,-0.180093438806803,0.5586643535819,0.858331781476254,1,1,FALSE,FALSE,TRUE,TRUE
"5","250a576e3788b3f444938c7b08afb2e3",-0.0552970630392415,-0.00267119914433135,0.368163701120094,0.515472341099174,-0.150196944649912,-0.0051820416564648,0.881265897347051,0.995887756100444,1,1,FALSE,FALSE,TRUE,TRUE
"6","eedb6e6a512baecd8df273d5495ca5c0",-0.484167467169603,0.802485991746151,0.163008941805978,0.258985126911176,-2.97018962153551,3.09857944862363,0.0249513954125412,0.0211547940677294,1,1,FALSE,FALSE,TRUE,TRUE
"7","ed32eeb458a2b9bdee12e2db96fcb98b",-0.277384534504426,0.396067667758532,0.229650802468877,0.377502205536378,-1.20785353903572,1.04917974504487,0.23520219903575,0.301286438921644,1,1,FALSE,FALSE,TRUE,TRUE
"8","645dd8b575c7e7c0952933bbe90b4bb9",-0.106294747821988,0.00104735943369955,0.143061436500099,0.244841061755307,-0.743000702512268,0.00427771153331411,0.498748265575722,0.996791728580746,1,1,FALSE,FALSE,TRUE,TRUE
"9","0f898170dbe4592000abdcde0dd2ba2e",-0.148904394104662,0.143677801596983,0.264472416074869,0.386452960310977,-0.563024289317599,0.371786003350488,0.576213014643882,0.71179717612578,1,1,FALSE,FALSE,TRUE,TRUE
"10","b5c3abd1c966bb0457d8dfe34c35b160",-0.197062142062292,0.24142739985917,0.194493769449055,0.310414426534035,-1.01320542360052,0.777758310252695,0.31934141786509,0.443010758781911,1,1,FALSE,FALSE,TRUE,TRUE
"11","ca39c1dfb5e738c293917a0ab7391c33",0.223812971630865,-0.40765030306574,0.181528966302797,0.306417994772665,1.23293255169832,-1.33037324837329,0.241208857918726,0.208125128463004,1,1,FALSE,FALSE,TRUE,TRUE
"12","7d669e880492b330a9c9c649f65c2ba6",0.0136077524638559,-0.381331354377716,0.158039341175067,0.262541304550553,0.0861035762530926,-1.45246232790121,0.932162926262082,0.160487475101075,1,1,FALSE,FALSE,TRUE,TRUE
"13","494975433cf1f940b003816db0232f8b",-0.319073563141892,0.554839915610793,0.104082866661523,0.210279595139162,-3.06557239799629,2.63858181410138,0.0547525296529337,0.0777504247875705,1,1,FALSE,FALSE,TRUE,TRUE
"14","632a77028290d1ecbd9bfe2958610b8c",0.0857732308511781,-0.284811786925169,0.187911518840907,0.335372191075541,0.456455417849061,-0.849240916522552,0.65021053062576,0.400145441553705,1,1,FALSE,FALSE,TRUE,TRUE
"15","5b239eddc0c4c102c7f721bae475cf22",-0.0266108982312105,-0.0814303935302843,0.288633643224728,0.442545272343863,-0.0921961069191489,-0.184004662616782,0.926970430857236,0.854874801566419,1,1,FALSE,FALSE,TRUE,TRUE
"16","51c79d7c5c2260b32f6ad5b82272898e",-0.455322173771537,0.195236674433273,0.113168973222678,0.213547506267831,-4.02338344870918,0.914254059180665,0.00503791796350156,0.390987201231742,0.267009652065583,1,FALSE,FALSE,TRUE,TRUE
"17","20f887a0f58476d52027e0798805c1d2",-0.13534085678846,0.0225020798945486,0.160272277638365,0.308848197141374,-0.844443335945099,0.0728580581101739,0.407119908464716,0.942548974150322,1,1,FALSE,FALSE,TRUE,TRUE
"18","3a4c1eb8dbc9f93fbbfbd8702754c0df",-0.119771338380221,0.101246893356696,0.167282620959661,0.290704013384439,-0.715981957319424,0.34828171850109,0.481533777276131,0.730939310208703,1,1,FALSE,FALSE,TRUE,TRUE
"19","969732ae717bf5a9282f4781499aadb4",0.117522080728008,-0.468191408254436,0.253020178801529,0.446063714778614,0.46447710725947,-1.04960657579334,0.644649224292137,0.299762581660249,1,1,FALSE,FALSE,TRUE,FALSE
"20","81b95cf5e2e0e3f7579b7dfa4b2ebed0",-0.0730763075078862,0.032887289792959,0.196547443130786,0.383457709765838,-0.371799837962075,0.0857651025273216,0.711749131027322,0.932025367760404,1,1,FALSE,FALSE,TRUE,TRUE
"21","26de4690cd2c89c490c37a8d1418d67a",-0.203428258287959,-0.0176484207561157,0.192065650200166,0.312173546567264,-1.05916002198181,-0.0565340047232766,0.297710266182656,0.955279227131793,1,1,FALSE,FALSE,TRUE,FALSE
"22","c5bd025300b4ef0c652dd11cef56ac29",0.0167848009108144,-0.281951108295125,0.181515233467676,0.295890524078562,0.0924704807974336,-0.95288995540886,0.927006961915323,0.349099275239003,1,1,FALSE,FALSE,TRUE,TRUE
"23","95251fbafeb9956f566a3da93d145d63",-0.125539699565537,0.0570429242653717,0.199303171552421,0.310168622994685,-0.629893135105064,0.183909396490918,0.532022096257537,0.854929487460489,1,1,FALSE,FALSE,TRUE,TRUE
"24","cb3f42ad378ddeda014d895db355586b",0.110124474494644,-0.333514274212103,0.237843009815713,0.371133637268511,0.463013290068821,-0.898636611509317,0.645537951527524,0.373526190265292,1,1,FALSE,FALSE,TRUE,TRUE
"25","1e2270e7a0c8c2e951edc6813b58451a",-0.0043442523005439,-0.186031552014803,0.244434627655152,0.371422144873973,-0.0177726549720802,-0.500862844561746,0.985900567944458,0.618964103099967,1,1,FALSE,FALSE,TRUE,TRUE
"26","820d3c5095323f85949bc959fd15d1b7",-0.289236056760259,0.379257009993756,0.20796025614899,0.318556688821532,-1.39082371851398,1.19054794108006,0.175234216676605,0.243827089688255,1,1,FALSE,FALSE,TRUE,FALSE
"27","92fb114641e27921122496428e2ef0dd",-0.00635055894262961,0.298575729749839,0.100415196542442,0.211937283745103,-0.0632430066493513,1.4087928488738,0.952023435204617,0.21794197475575,1,1,FALSE,FALSE,TRUE,TRUE
"28","5431c93e93b57f0b74748eb702ea1e72",-0.24553771295967,0.377810100696526,0.229700608848964,0.387066710982178,-1.06894672238818,0.976085232795752,0.290671141690827,0.334127661482168,1,1,FALSE,FALSE,TRUE,TRUE
"29","7c821085a5548386a8d91fe359fa3ff3",-0.00606137687296918,-0.147976559482039,0.200727563197511,0.333912895277981,-0.0301970331150034,-0.443159163885688,0.976046473047973,0.65982195669448,1,1,FALSE,FALSE,TRUE,TRUE
"30","564e9f4d70915c0026898422d57b1431",0.0977342997515138,-0.706696440260244,0.107451076717832,0.211598092111028,0.909570222438674,-3.33980535084141,0.430108950800482,0.0443938998604599,1,1,FALSE,FALSE,TRUE,TRUE
"31","386a607b118090dd71bfc8b4b4081447",0.101845419076618,-0.316956163376051,0.212326133908058,0.304328393907304,0.479665019100851,-1.04149389186667,0.633738447872946,0.303089503287314,1,1,FALSE,FALSE,TRUE,TRUE
"32","afce1dc2c06acb90ad5d3da0fffbcd02",-0.0306674938871653,-0.26996798730562,0.187355191989393,0.309070949083731,-0.163686383929523,-0.873482247703852,0.871407896462876,0.39142918329456,1,1,FALSE,FALSE,TRUE,TRUE
"33","1c6bf8efe709f63c28e0225da6870395",-0.0591199656776031,0.00497460613239164,0.146644221875493,0.266705932217379,-0.403152370557078,0.0186520265636127,0.688703910856321,0.985199368426991,1,1,FALSE,FALSE,TRUE,TRUE
