"","taxon","lfc_(Intercept)","lfc_Both_case_control","se_(Intercept)","se_Both_case_control","W_(Intercept)","W_Both_case_control","p_(Intercept)","p_Both_case_control","q_(Intercept)","q_Both_case_control","diff_(Intercept)","diff_Both_case_control","passed_ss_(Intercept)","passed_ss_Both_case_control"
"1","7e464b9b7f9ca86103a675a09263efec",0.0487488772123231,-0.113766351266157,0.179279707913273,0.315036438307539,0.271915197652516,-0.361121246409907,0.787284847698109,0.720179551456701,1,1,FALSE,FALSE,TRUE,TRUE
"2","41f01f3e3cbf6beb908ae1ebb553208e",0.890280545837819,-1.42643447927417,0.0942985774312619,0.245720242768025,9.44108140429564,-5.80511586349361,0.000701876022634234,0.00438056237749491,0.0364975531769801,0.22340868125224,TRUE,FALSE,FALSE,TRUE
"3","bc6f21affc11d8c4a5d6454f728e4add",0.203635155796281,-0.410060699039602,0.0611230997614119,0.225196283395405,3.33155806219172,-1.82090349297465,0.0157761457816532,0.118471935072948,0.741478851737701,1,FALSE,FALSE,TRUE,TRUE
"4","c2ba82ad21732bcd0ef11c61560cf91c",0.129468083596171,-0.250230589473958,0.267319517951155,0.438730230612588,0.484319605947469,-0.570351829014762,0.631796847956001,0.572832035406637,1,1,FALSE,FALSE,TRUE,TRUE
"5","250a576e3788b3f444938c7b08afb2e3",-0.203116082324205,0.517255043725729,0.319591095585303,0.543097481734786,-0.635549879611682,0.952416575516959,0.529089448707172,0.347237062918077,1,1,FALSE,FALSE,TRUE,TRUE
"6","eedb6e6a512baecd8df273d5495ca5c0",-0.172470623967491,0.263086892630116,0.0654841154812427,0.258168138747173,-2.63377801929529,1.01905252099199,0.0388625979363307,0.347495686279737,1,1,FALSE,FALSE,TRUE,TRUE
"7","ed32eeb458a2b9bdee12e2db96fcb98b",-0.507103435314872,1.00501564057262,0.216676335126268,0.37468912309367,-2.34037295775451,2.68226531977918,0.026353219575541,0.0119452638701677,1,0.585317929638217,FALSE,FALSE,TRUE,TRUE
"8","645dd8b575c7e7c0952933bbe90b4bb9",0.546515703282492,-0.668056858905902,0.125114552923036,0.270344989777606,4.36812257658531,-2.47112720474482,0.00238648766957684,0.0386424809810336,0.119324383478842,1,FALSE,FALSE,TRUE,TRUE
"9","0f898170dbe4592000abdcde0dd2ba2e",-0.0105323498381814,0.121999246827012,0.281793013194867,0.447850080623239,-0.0373761922581738,0.272410907367116,0.970380721257222,0.786780901972909,1,1,FALSE,FALSE,TRUE,TRUE
"10","b5c3abd1c966bb0457d8dfe34c35b160",0.0250911000023985,0.0141006107428994,0.107312900926949,0.341494346758689,0.233812521939732,0.0412909053304573,0.817631313422821,0.967494802328897,1,1,FALSE,FALSE,TRUE,TRUE
"11","ca39c1dfb5e738c293917a0ab7391c33",0.595571109924363,-1.04064783841208,0.190098648424298,0.355154864978043,3.13295815020765,-2.93012412620736,0.00684063272916192,0.0103427105213921,0.335191003728934,0.517135526069605,FALSE,FALSE,TRUE,TRUE
"12","7d669e880492b330a9c9c649f65c2ba6",-0.258551196369852,0.313774735551133,0.143957760633247,0.301986380045553,-1.7960212442353,1.0390360502477,0.0868941326715856,0.310604104831445,1,1,FALSE,FALSE,TRUE,TRUE
"13","494975433cf1f940b003816db0232f8b",-0.297150691807713,-0.152885282696266,0.0574452202477773,0.222532612631537,-5.17276616794259,-0.687024166428178,0.0354001093238993,0.563034059582322,1,1,FALSE,FALSE,TRUE,TRUE
"14","b67b924653e2ba692fd3ea7c8f75c2ee",-0.340040955280863,0.357619970210002,0.0876849195203405,0.236032773365452,-3.87798674094675,1.5151284506423,0.0178717955316672,0.204315607950431,0.822102594456693,1,FALSE,FALSE,TRUE,TRUE
"15","632a77028290d1ecbd9bfe2958610b8c",-0.0269527934652251,0.154840134081099,0.203952044304161,0.350460979430509,-0.13215260262373,0.441818471011269,0.895560865603642,0.661124775138203,1,1,FALSE,FALSE,TRUE,TRUE
"16","5b239eddc0c4c102c7f721bae475cf22",0.187838915520832,-0.214954383903659,0.287628520918681,0.473278258333028,0.653060812331398,-0.454181826692753,0.51798427267912,0.652502118929004,1,1,FALSE,FALSE,TRUE,TRUE
"17","51c79d7c5c2260b32f6ad5b82272898e",-0.284495275315823,0.386718129013116,0.154339649892723,0.294974157848855,-1.84330647058981,1.3110237582618,0.0950823494671725,0.219155713645581,1,1,FALSE,FALSE,TRUE,FALSE
"18","20f887a0f58476d52027e0798805c1d2",0.0468069353230338,0.00435523747893811,0.213824906512931,0.347754786263596,0.218903102011659,0.0125238750147262,0.828839033791869,0.990125873901683,1,1,FALSE,FALSE,TRUE,TRUE
"19","3a4c1eb8dbc9f93fbbfbd8702754c0df",-0.141057022576203,0.0666219649800424,0.129236312175829,0.282553572455091,-1.09146585972131,0.235785250921332,0.290296093686023,0.816416472763152,1,1,FALSE,FALSE,TRUE,TRUE
"20","969732ae717bf5a9282f4781499aadb4",0.36432896851637,-0.686291826982591,0.24143487341825,0.443683663408943,1.5090155094754,-1.54680436441951,0.140022204043085,0.130657250957623,1,1,FALSE,FALSE,TRUE,TRUE
"21","81b95cf5e2e0e3f7579b7dfa4b2ebed0",0.188568795616,-0.306040933056704,0.216640889598504,0.422886055112071,0.870421073166153,-0.723695968115097,0.39000128771662,0.474061894165766,1,1,FALSE,FALSE,TRUE,TRUE
"22","26de4690cd2c89c490c37a8d1418d67a",0.011936219772279,-0.0838490280988694,0.174547342784701,0.321971370556441,0.0683838526662764,-0.260423863009804,0.945905598957589,0.796205356826325,1,1,FALSE,FALSE,TRUE,TRUE
"23","c5bd025300b4ef0c652dd11cef56ac29",0.0986538531720951,-0.355301141990908,0.271250785350473,0.42531712577027,0.363699788166984,-0.835379345112051,0.719553983253701,0.412485000326039,1,1,FALSE,FALSE,TRUE,TRUE
"24","95251fbafeb9956f566a3da93d145d63",-0.00608731240303974,0.0974187671687559,0.222669862735101,0.374984508004705,-0.0273378369585717,0.259794111727767,0.97834126592102,0.79650264737876,1,1,FALSE,FALSE,TRUE,TRUE
"25","cb3f42ad378ddeda014d895db355586b",0.248956805058157,-0.396979062965664,0.154341215859478,0.289927557509907,1.61302866296467,-1.36923535787763,0.115013509729807,0.17896454858026,1,1,FALSE,FALSE,FALSE,FALSE
"26","1e2270e7a0c8c2e951edc6813b58451a",-0.09793684610072,0.123525453296454,0.164855343154085,0.35188675467521,-0.594077475603456,0.351037518904249,0.556511315267814,0.727791483072,1,1,FALSE,FALSE,TRUE,TRUE
"27","820d3c5095323f85949bc959fd15d1b7",-0.656920923612895,1.15994002410287,0.143949889237582,0.295717045509771,-4.56353893075026,3.92246588999735,0.00011550703306648,0.000604452670386388,0.0062373797855899,0.0332448968712514,TRUE,TRUE,FALSE,FALSE
"28","92fb114641e27921122496428e2ef0dd",-0.927028952195161,0.942048646619943,0.0850837591530975,0.270758764450407,-10.895486534946,3.47929142213415,3.54469021265133e-05,0.013153860090193,0.00198502651908474,0.631385284329264,TRUE,FALSE,FALSE,FALSE
"29","5431c93e93b57f0b74748eb702ea1e72",0.10436523091458,-0.120656726850169,0.247841131992185,0.383160775600569,0.421097297594134,-0.314898430459252,0.676120197081981,0.754607840779245,1,1,FALSE,FALSE,TRUE,TRUE
"30","7c821085a5548386a8d91fe359fa3ff3",0.37817046782687,-0.655406388503091,0.246422085586119,0.412112318303163,1.53464518785881,-1.59035864591884,0.133155922327388,0.120040260218377,1,1,FALSE,FALSE,TRUE,FALSE
"31","564e9f4d70915c0026898422d57b1431",0.160391889750025,-1.3448415366891,0.222479916761924,0.339673941568972,0.720927498016197,-3.95921315152174,0.489256088502096,0.00330821403676677,1,0.175335343948639,FALSE,FALSE,TRUE,FALSE
"32","386a607b118090dd71bfc8b4b4081447",0.0214332857811433,0.058067975588363,0.171361791559777,0.303731236183661,0.12507622373723,0.19118210006313,0.901122566824651,0.849400775247835,1,1,FALSE,FALSE,TRUE,TRUE
"33","afce1dc2c06acb90ad5d3da0fffbcd02",-0.315534413636865,0.329962608710265,0.166700614656083,0.361464402136808,-1.89282093703037,0.912849527532119,0.0729450313894097,0.372195028157529,1,1,FALSE,FALSE,TRUE,TRUE
"34","1c6bf8efe709f63c28e0225da6870395",-0.0552160804573089,0.211366708065266,0.139178689808843,0.289554194553904,-0.396727979931025,0.729972875685342,0.693787404982819,0.46988314551268,1,1,FALSE,FALSE,TRUE,TRUE
"35","f2d099ef5556f02539ded15181a3d994",0.150564810179106,-0.200195073207563,0.218884155161408,0.37771171526962,0.68787441497571,-0.530020820415006,0.49570957189398,0.599181051900908,1,1,FALSE,FALSE,TRUE,TRUE
"36","304a3df568087b761af6bca76a3816aa",-0.291504316251929,-0.297996834941348,0.0841129656194973,0.233491124876906,-3.46562880175466,-1.27626621824897,0.0104675626386424,0.242571889933941,0.502443006654834,1,FALSE,FALSE,TRUE,FALSE
"37","2ddd18d49a8163e0fc79e28ea6273254",0.68205991232182,-1.72851325278591,0.149463149077316,0.292155630234958,4.56339851349576,-5.91641260309034,0.000152365391037432,5.92411799600036e-06,0.00807536572498392,0.00033175060777602,TRUE,TRUE,FALSE,TRUE
"38","42604f7f8bfc866837a5370b4b667382",0.326342766725353,-0.80008650290398,0.0827582251313425,0.238458113813446,3.94332727903996,-3.35524964996543,0.00087208795318097,0.0033242128210047,0.0444764856122295,0.175335343948639,TRUE,FALSE,FALSE,TRUE
"39","e1a9800482df461df81429b3b8f859a1",0.00437051064622593,-0.155716979836847,0.140161308440996,0.334259711777017,0.031182005182734,-0.465856261913866,0.975353753151729,0.645054698643596,1,1,FALSE,FALSE,TRUE,TRUE
"40","c38ee4acf990375c9b9df651cf77bf7c",0.162350767294382,-0.236794168873812,0.232305421108249,0.430343401272726,0.698867751427677,-0.550244684067426,0.489531229660403,0.58585713740747,1,1,FALSE,FALSE,TRUE,TRUE
"41","321b7763c5946d79f50284281735d5b0",-0.0842345437890579,-0.0511358937288941,0.162200543594392,0.2894938951711,-0.51932343703915,-0.176638936370908,0.609862255518371,0.861764276098691,1,1,FALSE,FALSE,TRUE,TRUE
"42","01491b7ad3b35c7e644dd24ae831bee2",-0.0375340252963383,0.0745526143884385,0.148560106768855,0.296825509864707,-0.252652115784607,0.251166466192274,0.802382653645784,0.803519557725886,1,1,FALSE,FALSE,TRUE,TRUE
