"","taxon","lfc_(Intercept)","lfc_Crohn_case_control","se_(Intercept)","se_Crohn_case_control","W_(Intercept)","W_Crohn_case_control","p_(Intercept)","p_Crohn_case_control","q_(Intercept)","q_Crohn_case_control","diff_(Intercept)","diff_Crohn_case_control","passed_ss_(Intercept)","passed_ss_Crohn_case_control"
"1","7e464b9b7f9ca86103a675a09263efec",0.174995734066832,-0.164243278787923,0.227212609085754,0.467428665122665,0.770184959236949,-0.351376137244005,0.449382133101111,0.728649075277655,1,1,FALSE,FALSE,TRUE,TRUE
"2","bc6f21affc11d8c4a5d6454f728e4add",0.226039240101303,-1.14434427434092,0.107281644537904,0.265162233944338,2.10697031234863,-4.31563823142755,0.169693799641803,0.0497215937856656,1,1,FALSE,FALSE,FALSE,FALSE
"3","c2ba82ad21732bcd0ef11c61560cf91c",-0.191666287858557,0.341855080479699,0.323032751522277,0.479552240270871,-0.593333917243185,0.71286306636083,0.559608563271807,0.484165502548313,1,1,FALSE,FALSE,TRUE,TRUE
"4","250a576e3788b3f444938c7b08afb2e3",0.188570630067003,-0.228735200369648,0.293476686310078,0.629926901205746,0.642540409045527,-0.363113878660882,0.527162479490474,0.719985448471721,1,1,FALSE,FALSE,TRUE,TRUE
"5","eedb6e6a512baecd8df273d5495ca5c0",-1.57687898515817,1.52987299513655,8.71546401137616e-06,0.245404801830635,-180928.86197452,6.23407929968862,3.05481065638945e-11,0.0247785587499185,1.55795343475862e-09,1,TRUE,FALSE,FALSE,TRUE
"6","ed32eeb458a2b9bdee12e2db96fcb98b",0.00877474987431645,0.0701085540492646,0.430508526105214,0.639466799255185,0.0203822905755227,0.109635956285648,0.98396265270918,0.913911155463508,1,1,FALSE,FALSE,TRUE,TRUE
"7","0f898170dbe4592000abdcde0dd2ba2e",-0.123797036882057,0.394880772005401,0.264824575155351,0.429900111422762,-0.467468084521369,0.918540752870558,0.644563811633009,0.367868785467467,1,1,FALSE,FALSE,TRUE,TRUE
"8","b5c3abd1c966bb0457d8dfe34c35b160",-0.0725262899841119,0.358321313150442,0.241454532508831,0.493828585888612,-0.300372452032803,0.725598564744214,0.768307178946853,0.480039362146369,1,1,FALSE,FALSE,TRUE,TRUE
"9","7d669e880492b330a9c9c649f65c2ba6",-0.150042290251432,0.419845906047991,0.101940162890703,0.288833230359274,-1.47186629878453,1.45359280691406,0.184533790749541,0.189375484907645,1,1,FALSE,FALSE,TRUE,TRUE
"10","b67b924653e2ba692fd3ea7c8f75c2ee",0.24233167548115,-0.664529917650165,0.0310991076964652,0.237432075848402,7.7922388592742,-2.79882115874883,0.0160733108706421,0.107469022449889,0.739372300049536,1,FALSE,FALSE,FALSE,FALSE
"11","632a77028290d1ecbd9bfe2958610b8c",0.352177167624119,-0.43284271579474,0.285434619064761,0.477942171268497,1.23382779838705,-0.905638258800097,0.229213796282313,0.374129933850677,1,1,FALSE,FALSE,TRUE,TRUE
"12","5b239eddc0c4c102c7f721bae475cf22",0.0639571470718795,0.0601285613127756,0.293075661935308,0.44240587572434,0.218227425128181,0.135912664392914,0.829463191199845,0.893249026518747,1,1,FALSE,FALSE,TRUE,TRUE
"13","51c79d7c5c2260b32f6ad5b82272898e",-0.045850143656693,-0.0308400684939441,0.0544478981335795,0.243092280412079,-0.842092077534504,-0.126865684264698,0.48838233054887,0.910651208962909,1,1,FALSE,FALSE,FALSE,FALSE
"14","20f887a0f58476d52027e0798805c1d2",0.579249506155006,-0.783471541098078,0.279967942574777,0.40591349972006,2.06898511603804,-1.93014408645784,0.0684765148747355,0.0856527043677469,1,1,FALSE,FALSE,TRUE,TRUE
"15","3a4c1eb8dbc9f93fbbfbd8702754c0df",0.507926591175501,-0.93217095421086,0.246140184999515,0.377879844259688,2.06356630135994,-2.46684486714843,0.0568089534517589,0.026160482483274,1,1,FALSE,FALSE,FALSE,FALSE
"16","969732ae717bf5a9282f4781499aadb4",0.284542974728954,-0.29757433000441,0.305601032723957,0.511686185692816,0.931092975022685,-0.581556309950988,0.361077594138796,0.56628829692108,1,1,FALSE,FALSE,TRUE,TRUE
"17","81b95cf5e2e0e3f7579b7dfa4b2ebed0",-0.261111908352296,0.65894783252509,0.224002409502241,0.423662298313249,-1.16566562356412,1.55536103908372,0.255696166393479,0.133514010741705,1,1,FALSE,FALSE,TRUE,FALSE
