"","W","q-value","p-value"
"7e464b9b7f9ca86103a675a09263efec",0.934764616432067,1,0.349909618320818
"41f01f3e3cbf6beb908ae1ebb553208e",1.50682037749987,1,0.131856704861143
"bc6f21affc11d8c4a5d6454f728e4add",-0.83030159484585,1,0.406368286601865
"c2ba82ad21732bcd0ef11c61560cf91c",0.890077624698002,1,0.373424206559669
"250a576e3788b3f444938c7b08afb2e3",0.378292164158873,1,0.705213565786973
"eedb6e6a512baecd8df273d5495ca5c0",0.973114399339953,1,0.330496448256748
"ed32eeb458a2b9bdee12e2db96fcb98b",-1.04663099200958,1,0.295269802257121
"645dd8b575c7e7c0952933bbe90b4bb9",1.26197752209375,1,0.206956874799759
"0f898170dbe4592000abdcde0dd2ba2e",1.23684059420609,1,0.21614626808444
"b5c3abd1c966bb0457d8dfe34c35b160",-0.041795385472797,1,0.966661813659641
"ca39c1dfb5e738c293917a0ab7391c33",2.18773806925445,1,0.0286886873306865
"7d669e880492b330a9c9c649f65c2ba6",0.175562785497097,1,0.860637441040731
"b67b924653e2ba692fd3ea7c8f75c2ee",1.01445912990059,1,0.310363721786767
"632a77028290d1ecbd9bfe2958610b8c",-0.0155316966631943,1,0.987607997259275
"5b239eddc0c4c102c7f721bae475cf22",-1.21413156525354,1,0.224697488063373
"51c79d7c5c2260b32f6ad5b82272898e",-2.01217823593386,1,0.0442011518618454
"20f887a0f58476d52027e0798805c1d2",-0.8350610763769,1,0.403683320790042
"3a4c1eb8dbc9f93fbbfbd8702754c0df",-2.06567281883084,1,0.038859383495744
"969732ae717bf5a9282f4781499aadb4",-2.35572914590054,0.905833178687568,0.0184863914017871
"81b95cf5e2e0e3f7579b7dfa4b2ebed0",0.404047218463334,1,0.686177997085819
"26de4690cd2c89c490c37a8d1418d67a",-0.450528766781307,1,0.652329216587554
"c5bd025300b4ef0c652dd11cef56ac29",-1.98090635919517,1,0.0476017758121107
"95251fbafeb9956f566a3da93d145d63",0.210197994696017,1,0.833513144604862
"cb3f42ad378ddeda014d895db355586b",-0.75721948312736,1,0.448918379606901
"1e2270e7a0c8c2e951edc6813b58451a",0.277079766549589,1,0.78171885776914
"820d3c5095323f85949bc959fd15d1b7",1.68495125663193,1,0.0919979761708729
"92fb114641e27921122496428e2ef0dd",2.48850868336372,0.654228533118876,0.0128280104533113
"5431c93e93b57f0b74748eb702ea1e72",-0.349465369691436,1,0.726739964896078
"7c821085a5548386a8d91fe359fa3ff3",-2.94048061610046,0.180236927605769,0.00327703504737762
"3a8a7409bdc33da14a01ec3e3313b9a7",1.3510645569262,1,0.176674753833048
"564e9f4d70915c0026898422d57b1431",-1.56484185426605,1,0.117619995211129
"386a607b118090dd71bfc8b4b4081447",1.25369656240871,1,0.209952317890021
"afce1dc2c06acb90ad5d3da0fffbcd02",1.14139833072733,1,0.253704199035114
"1c6bf8efe709f63c28e0225da6870395",2.60533612377885,0.477277677297479,0.00917841687110537
"f2d099ef5556f02539ded15181a3d994",-0.793349983800783,1,0.427573942649436
"304a3df568087b761af6bca76a3816aa",-0.411701591421673,1,0.680558158398242
"2ddd18d49a8163e0fc79e28ea6273254",-2.83002579410031,0.251338958203837,0.00465442515192292
"42604f7f8bfc866837a5370b4b667382",-2.76051275474837,0.305866733652454,0.00577107044627272
"de4edf45ab75f6490e1ada65b0e0306f",-0.304785584394239,1,0.760529461473363
"e1a9800482df461df81429b3b8f859a1",-0.54161600034006,1,0.58808306701736
"c38ee4acf990375c9b9df651cf77bf7c",0.00954929728335698,1,0.99238087892804
"321b7763c5946d79f50284281735d5b0",-2.24433643244767,1,0.0248107631375432
"01491b7ad3b35c7e644dd24ae831bee2",-0.789128893147043,1,0.430036676338449
"a67690654fca1914946ee270222b7247",-0.226569888885815,1,0.820758208598212
"95c08da59378a0eb674c2b7dab943428",-0.740526808341669,1,0.458980400632413
"6a49b0df18b1abfe220ecc00d5cbf296",-0.965974842984893,1,0.334056769483469
"5c4a1032c65d0d99d6d6bee379b63a2c",-1.71091153814505,1,0.0870974443190766
"c4228a5878f56464e576996e95eefc5e",-1.97576925653387,1,0.0481809169013029
"f55e6f0203460ecfb665c9dbc579b714",-2.38677621178697,0.849841704228127,0.0169968340845625
"b73c9d186b67a61bce0ba79c990aef39",-4.34352242712506,0.000785210473226466,1.40216155933297e-05
"6960eba3db7d4d863d042ab497d7481a",-0.90024557512443,1,0.367989577299219
"d2a7d567b64364c09cf4bea1e3f5aef5",1.27588989632653,1,0.201994443183478
"6545176af2fa076f03140433793c0d00",0.462645407854065,1,0.643618555182325
"719ab97ff4cf3c7b809b054134f4dc70",-0.377457878930681,1,0.70583336104881
"3fae853851bfe19cdb50e15749f373b6",1.7034649122506,1,0.0884810989506426
"a99fb503372ef5103fa41e0c743bbad2",1.4352636880485,1,0.151211971071003
