"","W","q-value","p-value"
"7e464b9b7f9ca86103a675a09263efec",-0.0197807312092042,1,0.984218289144436
"41f01f3e3cbf6beb908ae1ebb553208e",0.921216372155061,1,0.356937472152
"bc6f21affc11d8c4a5d6454f728e4add",0.701334746920352,1,0.483094134027423
"c2ba82ad21732bcd0ef11c61560cf91c",-0.803192639741347,1,0.421863399014039
"250a576e3788b3f444938c7b08afb2e3",0.219702945537681,1,0.826102510508277
"eedb6e6a512baecd8df273d5495ca5c0",-0.0100653345174347,1,0.991969160591459
"ed32eeb458a2b9bdee12e2db96fcb98b",-0.58871014050296,1,0.556055734255274
"645dd8b575c7e7c0952933bbe90b4bb9",-0.145783962399993,1,0.884091936784518
"0f898170dbe4592000abdcde0dd2ba2e",0.25748880586932,1,0.796801455683937
"b5c3abd1c966bb0457d8dfe34c35b160",-1.58487835555434,1,0.112993975124205
"ca39c1dfb5e738c293917a0ab7391c33",0.511139126194085,1,0.609253640429992
"7d669e880492b330a9c9c649f65c2ba6",-0.271797442247702,1,0.785777772004164
"b67b924653e2ba692fd3ea7c8f75c2ee",0.515072984044665,1,0.606502020383134
"632a77028290d1ecbd9bfe2958610b8c",0.535483961172867,1,0.592315245391088
"5b239eddc0c4c102c7f721bae475cf22",-0.175649064300695,1,0.860569653807177
"51c79d7c5c2260b32f6ad5b82272898e",-1.28526667178003,1,0.198699112387027
"20f887a0f58476d52027e0798805c1d2",-0.256544467186754,1,0.797530449108842
"3a4c1eb8dbc9f93fbbfbd8702754c0df",-0.0365895155264102,1,0.970812303331767
"969732ae717bf5a9282f4781499aadb4",-1.28948379720142,1,0.197229945710361
"81b95cf5e2e0e3f7579b7dfa4b2ebed0",-0.379713859015506,1,0.704157831369831
"26de4690cd2c89c490c37a8d1418d67a",-1.09425031850688,1,0.273845208146933
"c5bd025300b4ef0c652dd11cef56ac29",-0.842311461787375,1,0.399613637029863
"95251fbafeb9956f566a3da93d145d63",-0.516799710794646,1,0.60529598195348
"cb3f42ad378ddeda014d895db355586b",1.23202422699046,1,0.217940034262626
"1e2270e7a0c8c2e951edc6813b58451a",0.391016967752496,1,0.695784693902613
"820d3c5095323f85949bc959fd15d1b7",0.265526373168677,1,0.790603995919519
"92fb114641e27921122496428e2ef0dd",0.651124109935964,1,0.514966374097859
"5431c93e93b57f0b74748eb702ea1e72",0.275165561966335,1,0.783189043615044
"7c821085a5548386a8d91fe359fa3ff3",-1.2093465186018,1,0.226529746117748
"3a8a7409bdc33da14a01ec3e3313b9a7",0.132326977652099,1,0.894725669919691
"564e9f4d70915c0026898422d57b1431",0.526043681082813,1,0.598857857648815
"386a607b118090dd71bfc8b4b4081447",0.796992592049673,1,0.425455333668125
"afce1dc2c06acb90ad5d3da0fffbcd02",-0.533435039077735,1,0.593732467779293
"1c6bf8efe709f63c28e0225da6870395",2.12365208218189,1,0.0336992470150202
"f2d099ef5556f02539ded15181a3d994",-0.032505305664276,1,0.97406908495877
"304a3df568087b761af6bca76a3816aa",-0.0737732412978447,1,0.941190819340673
"2ddd18d49a8163e0fc79e28ea6273254",-1.43764703387003,1,0.150534228529287
"42604f7f8bfc866837a5370b4b667382",-2.52887994233033,0.629349387799228,0.0114427161418041
"de4edf45ab75f6490e1ada65b0e0306f",0.17685120887157,1,0.859625264090117
"e1a9800482df461df81429b3b8f859a1",-0.94856408452639,1,0.342842364893994
"c38ee4acf990375c9b9df651cf77bf7c",1.18212540315337,1,0.237155946089756
"321b7763c5946d79f50284281735d5b0",-0.24532714544194,1,0.806203134817473
"01491b7ad3b35c7e644dd24ae831bee2",-1.37245055751231,1,0.169923220524759
"a67690654fca1914946ee270222b7247",1.42824973885057,1,0.153219988868298
"95c08da59378a0eb674c2b7dab943428",0.489048188468982,1,0.624807581207544
"6a49b0df18b1abfe220ecc00d5cbf296",-0.941420926200532,1,0.346489193895906
"5c4a1032c65d0d99d6d6bee379b63a2c",-0.684516561946601,1,0.493649034789226
"c4228a5878f56464e576996e95eefc5e",-1.0501294344325,1,0.293658607466773
"f55e6f0203460ecfb665c9dbc579b714",-1.55291282904476,1,0.120443961460116
"b73c9d186b67a61bce0ba79c990aef39",-2.51068315825919,0.650688090072512,0.0120497794457873
"6960eba3db7d4d863d042ab497d7481a",0.543891213555966,1,0.586516335637382
"6545176af2fa076f03140433793c0d00",0.767619827169011,1,0.44271307950843
"719ab97ff4cf3c7b809b054134f4dc70",0.269275180562713,1,0.787717930069719
"3fae853851bfe19cdb50e15749f373b6",0.894652699298433,1,0.370972771275643
"a99fb503372ef5103fa41e0c743bbad2",1.06937311362315,1,0.284901577366072
