"","taxon","lfc_(Intercept)","lfc_Both_case_control","se_(Intercept)","se_Both_case_control","W_(Intercept)","W_Both_case_control","p_(Intercept)","p_Both_case_control","q_(Intercept)","q_Both_case_control","diff_(Intercept)","diff_Both_case_control","passed_ss_(Intercept)","passed_ss_Both_case_control"
"1","7e464b9b7f9ca86103a675a09263efec",-0.0194468747703698,0.248841095642963,0.349700315075195,0.516581612488486,-0.055610115095802,0.481707226171373,0.956567581026485,0.638679523056883,1,1,FALSE,FALSE,TRUE,TRUE
"2","c2ba82ad21732bcd0ef11c61560cf91c",0.169247488056719,-0.269497262048041,0.393042479247059,0.636624330801933,0.4306086415416,-0.423322278161384,0.679700760733578,0.684762843289383,1,1,FALSE,FALSE,TRUE,TRUE
"3","250a576e3788b3f444938c7b08afb2e3",0.432914223111469,-0.655881100120713,0.434641270019699,1.20547502330035,0.996026500409979,-0.544085184216462,0.338898259635948,0.596347584985926,1,1,FALSE,FALSE,TRUE,TRUE
"4","ed32eeb458a2b9bdee12e2db96fcb98b",-0.367180177711758,1.10511677532303,0.456536544130322,0.595414532656834,-0.804273354307741,1.85604602291419,0.441964847384296,0.0964186070161423,1,1,FALSE,FALSE,TRUE,TRUE
"5","0f898170dbe4592000abdcde0dd2ba2e",-0.023951682274523,0.206510821629319,0.563548969968234,0.71265699428997,-0.042501510163124,0.289775899603804,0.966860576636381,0.77737691208552,1,1,FALSE,FALSE,TRUE,TRUE
"6","b5c3abd1c966bb0457d8dfe34c35b160",0.346963249334254,-0.680306545759572,0.331850131288621,0.451723345178638,1.04554199809096,-1.50602476719581,0.336053654698274,0.182773638230166,1,1,FALSE,FALSE,TRUE,TRUE
"7","7d669e880492b330a9c9c649f65c2ba6",-0.0157140662317921,-0.0879195801082118,0.267507055623723,0.433215433354872,-0.0587426234240926,-0.202946555775615,0.955432567826242,0.847177060965638,1,1,FALSE,FALSE,TRUE,TRUE
"8","632a77028290d1ecbd9bfe2958610b8c",0.124405345103026,-0.0388633441038288,0.287909759409484,0.474288719991956,0.432098395546531,-0.0819402664783761,0.673332401961653,0.936045092962116,1,1,FALSE,FALSE,TRUE,TRUE
"9","5b239eddc0c4c102c7f721bae475cf22",0.606774424129897,-1.00360150215757,0.387183606265817,0.715967826463502,1.56714905876806,-1.4017410630235,0.143058140715261,0.18632467497263,1,1,FALSE,FALSE,TRUE,TRUE
"10","3a4c1eb8dbc9f93fbbfbd8702754c0df",0.0683126450720087,0.0567170558160243,0.417922646283359,0.541542916496284,0.163457629490821,0.104732338081304,0.874212032601092,0.919166427880311,1,1,FALSE,FALSE,TRUE,TRUE
"11","969732ae717bf5a9282f4781499aadb4",-0.102641341612181,0.377005083527578,0.463357678833453,0.583248158737221,-0.221516436008119,0.646388810457327,0.828748880997513,0.531282418814516,1,1,FALSE,FALSE,TRUE,TRUE
"12","81b95cf5e2e0e3f7579b7dfa4b2ebed0",0.37465759933965,-0.657142621868056,0.411738969263474,0.614159092013772,0.909939615406928,-1.06998761463149,0.382360178992845,0.307541591710986,1,1,FALSE,FALSE,TRUE,TRUE
"13","26de4690cd2c89c490c37a8d1418d67a",-0.044567203091609,0.20871671791943,0.301914340419658,0.566452277739579,-0.1476153899469,0.368463021725875,0.885317287537677,0.719520930565782,1,1,FALSE,FALSE,TRUE,TRUE
"14","c5bd025300b4ef0c652dd11cef56ac29",-0.30767713746143,0.650193945463405,0.372591619951748,0.745108032922507,-0.825775785030472,0.872617012211204,0.432865401074564,0.408298287643375,1,1,FALSE,FALSE,TRUE,TRUE
"15","95251fbafeb9956f566a3da93d145d63",-0.322003814959959,0.853954976022142,0.385519024669215,0.578584694541645,-0.835247534764973,1.47593772195901,0.419897502930819,0.165713033002838,1,1,FALSE,FALSE,TRUE,FALSE
"16","cb3f42ad378ddeda014d895db355586b",0.481657734984064,-0.753368123865904,0.302545365898958,0.693212121707063,1.59201822031848,-1.08677863568038,0.137365380542352,0.298482751569494,1,1,FALSE,FALSE,TRUE,TRUE
