"","W","q-value","p-value"
"7e464b9b7f9ca86103a675a09263efec",-0.557749762484968,1,0.577015271932641
"41f01f3e3cbf6beb908ae1ebb553208e",-0.320818389634298,1,0.748348022543364
"bc6f21affc11d8c4a5d6454f728e4add",0.473392242558096,1,0.635933363309354
"c2ba82ad21732bcd0ef11c61560cf91c",-0.319175545708547,1,0.749593399621223
"250a576e3788b3f444938c7b08afb2e3",0.545028369390651,1,0.585734006206218
"eedb6e6a512baecd8df273d5495ca5c0",0.921526754644452,1,0.356775479457019
"ed32eeb458a2b9bdee12e2db96fcb98b",0.590816428541455,1,0.554643426128035
"645dd8b575c7e7c0952933bbe90b4bb9",-0.211729105683748,1,0.832318379797684
"0f898170dbe4592000abdcde0dd2ba2e",-0.126997718745522,1,0.898942204107911
"b5c3abd1c966bb0457d8dfe34c35b160",1.0184553413896,1,0.308461613685561
"ca39c1dfb5e738c293917a0ab7391c33",0.254259289093526,1,0.799295249066875
"7d669e880492b330a9c9c649f65c2ba6",-1.02585633465197,1,0.304959307411805
"b67b924653e2ba692fd3ea7c8f75c2ee",-0.603978621795732,1,0.545857855483904
"632a77028290d1ecbd9bfe2958610b8c",-0.0271972628689861,1,0.978302398814152
"5b239eddc0c4c102c7f721bae475cf22",0.704028586251114,1,0.481414971508367
"51c79d7c5c2260b32f6ad5b82272898e",-2.28380052955953,1,0.0223832565449047
"20f887a0f58476d52027e0798805c1d2",-0.924796963706245,1,0.355071530303418
"3a4c1eb8dbc9f93fbbfbd8702754c0df",-1.13395785554154,1,0.256812226658507
"969732ae717bf5a9282f4781499aadb4",-1.70257206176612,1,0.0886481821458372
"81b95cf5e2e0e3f7579b7dfa4b2ebed0",-0.362964075650543,1,0.716631720374784
"26de4690cd2c89c490c37a8d1418d67a",0.26259215187565,1,0.792864949736386
"c5bd025300b4ef0c652dd11cef56ac29",-1.73379118074341,1,0.0829551410391799
"95251fbafeb9956f566a3da93d145d63",-0.174517327132068,1,0.861458914630036
"cb3f42ad378ddeda014d895db355586b",-2.73665312520531,0.32275204651131,0.0062067701252175
"1e2270e7a0c8c2e951edc6813b58451a",0.92704294615589,1,0.353904236853753
"820d3c5095323f85949bc959fd15d1b7",1.50675326461582,1,0.131873912982147
"92fb114641e27921122496428e2ef0dd",1.44130312333059,1,0.149499065307683
"5431c93e93b57f0b74748eb702ea1e72",-1.33998360045016,1,0.180250676646949
"7c821085a5548386a8d91fe359fa3ff3",-2.95171719609889,0.170646594325002,0.00316012211712967
"3a8a7409bdc33da14a01ec3e3313b9a7",1.86746152481946,1,0.0618371649527398
"564e9f4d70915c0026898422d57b1431",-2.61038033993693,0.461252193169015,0.00904416065037284
"386a607b118090dd71bfc8b4b4081447",-0.433152823031318,1,0.664903749682716
"afce1dc2c06acb90ad5d3da0fffbcd02",0.767183164962773,1,0.442972620856861
"1c6bf8efe709f63c28e0225da6870395",0.206736549260238,1,0.836215611784234
"f2d099ef5556f02539ded15181a3d994",-1.23674015922044,1,0.216183564381186
"304a3df568087b761af6bca76a3816aa",-2.41906585307828,0.778021146106511,0.0155604229221302
"2ddd18d49a8163e0fc79e28ea6273254",-3.7019509728788,0.0117671381499073,0.00021394796636195
"42604f7f8bfc866837a5370b4b667382",-1.11250960856097,1,0.26591910117893
"e1a9800482df461df81429b3b8f859a1",-0.249714550338093,1,0.802808105074341
"c38ee4acf990375c9b9df651cf77bf7c",-0.451613068057263,1,0.651547754063148
"321b7763c5946d79f50284281735d5b0",-1.61115297102794,1,0.107146385259659
"01491b7ad3b35c7e644dd24ae831bee2",-0.129759901545538,1,0.89675638854996
"a67690654fca1914946ee270222b7247",-1.31680787990245,1,0.187903030855582
"95c08da59378a0eb674c2b7dab943428",-2.82384951917908,0.251488484234848,0.00474506574028015
"6a49b0df18b1abfe220ecc00d5cbf296",-1.43207788457658,1,0.152121532862371
"5c4a1032c65d0d99d6d6bee379b63a2c",-0.0605543315125497,1,0.951714144911474
"c4228a5878f56464e576996e95eefc5e",-2.13462236586986,1,0.0327918690182211
"f55e6f0203460ecfb665c9dbc579b714",-1.11454976312352,1,0.265043408366876
"b73c9d186b67a61bce0ba79c990aef39",-1.66709706687239,1,0.0954951052915547
"6960eba3db7d4d863d042ab497d7481a",-0.231858424132565,1,0.816647977336394
"6545176af2fa076f03140433793c0d00",0.253321190889129,1,0.800020022071773
"ebc68f0a3a40711c1b0df994d93a6cac",0.847712312768929,1,0.396598207497018
"719ab97ff4cf3c7b809b054134f4dc70",1.0890601891321,1,0.276127344247337
"3fae853851bfe19cdb50e15749f373b6",0.449735372165879,1,0.652901262873625
"a99fb503372ef5103fa41e0c743bbad2",-0.737085231969112,1,0.461070519355703
