"","W","q-value","p-value"
"7e464b9b7f9ca86103a675a09263efec",0.947055189378591,1,0.343610657037154
"41f01f3e3cbf6beb908ae1ebb553208e",0.656066677213655,1,0.51178122378118
"bc6f21affc11d8c4a5d6454f728e4add",-3.04061734633316,0.125129645759826,0.00236093671244955
"c2ba82ad21732bcd0ef11c61560cf91c",1.10955753215109,1,0.267189739927609
"250a576e3788b3f444938c7b08afb2e3",-0.383520828615047,1,0.701333629714348
"eedb6e6a512baecd8df273d5495ca5c0",-0.25844496965429,1,0.796063514314843
"ed32eeb458a2b9bdee12e2db96fcb98b",-1.47511233569663,1,0.140182344538192
"645dd8b575c7e7c0952933bbe90b4bb9",1.29248114062216,1,0.196190572967513
"0f898170dbe4592000abdcde0dd2ba2e",1.05719317188681,1,0.290423435445875
"b5c3abd1c966bb0457d8dfe34c35b160",0.77642264022733,1,0.437499481122328
"ca39c1dfb5e738c293917a0ab7391c33",2.20827681463605,1,0.0272249825411406
"7d669e880492b330a9c9c649f65c2ba6",0.562074503292271,1,0.574065259090163
"b67b924653e2ba692fd3ea7c8f75c2ee",0.0715017887332099,1,0.942998401000537
"632a77028290d1ecbd9bfe2958610b8c",-1.57351260727022,1,0.115600171418801
"5b239eddc0c4c102c7f721bae475cf22",-2.19266640009474,1,0.0283314232559992
"51c79d7c5c2260b32f6ad5b82272898e",-1.23720398714006,1,0.216011361673192
"20f887a0f58476d52027e0798805c1d2",-1.56991728830286,1,0.116434354993921
"3a4c1eb8dbc9f93fbbfbd8702754c0df",-3.8442633591546,0.00677124556913733,0.000120915099448881
"969732ae717bf5a9282f4781499aadb4",-2.1038615728782,1,0.0353905238581284
"81b95cf5e2e0e3f7579b7dfa4b2ebed0",0.516708225512785,1,0.605359853208736
"26de4690cd2c89c490c37a8d1418d67a",-1.72197808345718,1,0.0850734887371422
"c5bd025300b4ef0c652dd11cef56ac29",-2.18222967401307,1,0.0290925863014021
"95251fbafeb9956f566a3da93d145d63",0.419936883159353,1,0.674531562759424
"cb3f42ad378ddeda014d895db355586b",-1.8235698664238,1,0.0682171256556659
"1e2270e7a0c8c2e951edc6813b58451a",-0.644173952536843,1,0.519462639545656
"820d3c5095323f85949bc959fd15d1b7",1.10282254777131,1,0.270104234331496
"92fb114641e27921122496428e2ef0dd",0.928274943533205,1,0.353264968007951
"5431c93e93b57f0b74748eb702ea1e72",-0.167876699354485,1,0.866680281180753
"7c821085a5548386a8d91fe359fa3ff3",-3.08822558520669,0.108732002327988,0.00201355559866644
"564e9f4d70915c0026898422d57b1431",-1.8440943464304,1,0.0651693917156354
"386a607b118090dd71bfc8b4b4081447",0.407090540796867,1,0.683941490567507
"afce1dc2c06acb90ad5d3da0fffbcd02",1.57541947169977,1,0.115159652792559
"1c6bf8efe709f63c28e0225da6870395",1.45791501149448,1,0.144863970377148
"f2d099ef5556f02539ded15181a3d994",-0.961388095627093,1,0.336357067608059
"304a3df568087b761af6bca76a3816aa",-0.0411015875177198,1,0.967214909018556
"2ddd18d49a8163e0fc79e28ea6273254",-1.53619661288385,1,0.124490166493175
"42604f7f8bfc866837a5370b4b667382",-1.51611410083187,1,0.129490503366636
"de4edf45ab75f6490e1ada65b0e0306f",-0.427585046369195,1,0.668953254864045
"e1a9800482df461df81429b3b8f859a1",-1.03759198930154,1,0.299460048951072
"c38ee4acf990375c9b9df651cf77bf7c",-1.30569712444189,1,0.19165557626278
"321b7763c5946d79f50284281735d5b0",-1.66826536462751,1,0.0952630602521477
"01491b7ad3b35c7e644dd24ae831bee2",-1.1807063761988,1,0.237719387639434
"a67690654fca1914946ee270222b7247",-1.0676309584502,1,0.285687013066091
"95c08da59378a0eb674c2b7dab943428",-0.127114222097205,1,0.898849995168795
"6a49b0df18b1abfe220ecc00d5cbf296",-0.279651099766239,1,0.779745198608547
"5c4a1032c65d0d99d6d6bee379b63a2c",-1.88360600101109,1,0.0596182895317706
"c4228a5878f56464e576996e95eefc5e",-1.76533637429354,1,0.0775072497121074
"f55e6f0203460ecfb665c9dbc579b714",-1.3469241010187,1,0.178004678484375
"b73c9d186b67a61bce0ba79c990aef39",-3.4380143764436,0.032229812234554,0.0005859965860828
"6960eba3db7d4d863d042ab497d7481a",-2.57300144660124,0.524268088811067,0.0100820786309821
"d2a7d567b64364c09cf4bea1e3f5aef5",0.616217578846419,1,0.537750927941243
"6545176af2fa076f03140433793c0d00",-1.05654557792447,1,0.290719029215032
"ebc68f0a3a40711c1b0df994d93a6cac",-0.449804675727935,1,0.652851286097733
"719ab97ff4cf3c7b809b054134f4dc70",-1.42190196048743,1,0.155054713997652
"3fae853851bfe19cdb50e15749f373b6",0.741913349414899,1,0.458139837135248
"a99fb503372ef5103fa41e0c743bbad2",1.67386445439142,1,0.0941572414420146
