"","Df","SumsOfSqs","MeanSqs","F.Model","R2","Pr(>F)"
"md$UC_case_control",1,0.0807646583632408,0.0807646583632408,1.28329096592576,0.0385566129034401,0.238
"Residuals",32,2.0139384880336,0.0629355777510499,NA,0.96144338709656,NA
"Total",33,2.09470314639684,NA,NA,1,NA
