"","Df","SumsOfSqs","MeanSqs","F.Model","R2","Pr(>F)"
"md$CASE_CONTROL",1,103.442892158511,103.442892158511,1.24842936739026,0.00391052626277315,0.16
"Residuals",318,26348.9794181712,82.8584258433057,NA,0.996089473737227,NA
"Total",319,26452.4223103297,NA,NA,1,NA
