"","Df","SumOfSqs","R2","F","Pr(>F)"
"md$CASE_CONTROL",1,0.411408987184672,0.00664764479362926,2.12809788318761,0.023
"Residual",318,61.4765227475169,0.993352355206371,NA,NA
"Total",319,61.8879317347015,1,NA,NA
