"","Df","SumOfSqs","R2","F","Pr(>F)"
"md$CASE_CONTROL",1,0.36331656698015,0.00813123257936873,1.9347024039494,0.05
"Residual",236,44.3182939310381,0.991868767420631,NA,NA
"Total",237,44.6816104980183,1,NA,NA
