"","Df","SumsOfSqs","MeanSqs","F.Model","R2","Pr(>F)"
"md$Crohn_case_control",1,1.53023177100433,1.53023177100433,0.871871348375535,0.0110542749077741,0.428
"Residuals",78,136.898727502314,1.75511189105531,NA,0.988945725092226,NA
"Total",79,138.428959273319,NA,NA,1,NA
