"","Df","SumsOfSqs","MeanSqs","F.Model","R2","Pr(>F)"
"md$Both_case_control",1,0.102762940366143,0.102762940366143,0.827905867698351,0.0176797542481915,0.542
"Residuals",46,5.70970135769696,0.12412394255863,NA,0.982320245751809,NA
"Total",47,5.81246429806311,NA,NA,1,NA
