"","Df","SumsOfSqs","MeanSqs","F.Model","R2","Pr(>F)"
"md$Both_case_control",1,62.2501916858712,62.2501916858712,0.740643829571115,0.109877312656978,0.917
"Residuals",6,504.292529287,84.0487548811667,NA,0.890122687343022,NA
"Total",7,566.542720972871,NA,NA,1,NA
