"","Df","SumsOfSqs","MeanSqs","F.Model","R2","Pr(>F)"
"md$Crohn_case_control",1,0.1397911486916,0.1397911486916,1.56251993083677,0.0120599686674115,0.167
"Residuals",128,11.4515448279386,0.0894651939682705,NA,0.987940031332588,NA
"Total",129,11.5913359766302,NA,NA,1,NA
