Level,Metric,Comparison, Model1 R2, Model1 p, Model2 R2, Model2 p, Model3 R2, Model3 p, Model4 R2, Model4 p,females Model1 R2,females Model1 p,females Model2 R2,females Model2 p,females Model3 R2,females Model3 p,females Model4 R2,females Model4 p,females reduced Model1 R2,females reduced Model1 p,females reduced Model2 R2,females reduced Model2 p,females reduced Model3 R2,females reduced Model3 p,females reduced Model4 R2,females reduced Model4 p,males Model1 R2,males Model1 p,males Model2 R2,males Model2 p,males Model3 R2,males Model3 p,males Model4 R2,males Model4 p
family,rclr,UC_case_control,0.0049546215334157,0.821,0.0072202911605496,0.862,0.0072202911605496,1.0,0.0074366807801681,1.0,0.0090768011660665,0.704,0.0127103091978757,0.859,0.0127103091978757,1.0,0.0117582989102774,1.0,0.0105274008936462,0.947,0.0117150439226911,0.989,0.0117150439226911,1.0,0.0117150439226911,1.0,0.0143367051796797,0.74,0.0238015189575483,0.626,0.0238015189575483,1.0,0.0238015189575483,1.0
family,rclr,Both_case_control,0.0240781402579205,0.134,0.039313491642211,0.057,0.039313491642211,1.0,0.039313491642211,1.0,0.0299659516194753,0.128,0.0463351272549275,0.059,0.0463351272549275,1.0,0.0463351272549275,1.0,0.0996163701122199,0.221,0.155690604529103,0.394,0.155690604529103,1.0,0.155690604529103,1.0,0.0528160169356037,0.809,0.103466015526413,0.736,0.103466015526413,1.0,0.103466015526413,1.0
family,unweighted_unifrac,CASE_CONTROL,0.0099536760847031,0.027,0.0102697942129417,0.058,0.0102697942129417,1.0,0.0119856203603491,1.0,0.0164044445913961,0.008,0.0171006162488749,0.027,0.0171006162488749,1.0,0.0202277255171309,1.0,0.0228752236292413,0.069,0.0266561371694962,0.123,0.0266561371694962,1.0,0.0266561371694962,1.0,0.0107445464142901,0.379,0.0226175954388871,0.184,0.0226175954388871,1.0,0.0226175954388872,1.0
family,unweighted_unifrac,Crohn_case_control,0.0398452491311973,0.003,0.0293446881692734,0.018,0.0293446881692734,1.0,0.0333219734768351,1.0,0.0511836185566836,0.004,0.0360159676310663,0.035,0.0360159676310663,1.0,0.0426287237358797,1.0,0.0539674445337237,0.106,0.0615497217012827,0.2,0.0615497217012827,1.0,0.0615497217012827,1.0,0.0363947725098669,0.239,0.0550151727868463,0.265,0.0550151727868463,1.0,0.0550151727868463,1.0
family,unweighted_unifrac,UC_case_control,0.017530248649626,0.082,0.0145025281874872,0.308,0.0145025281874872,1.0,0.0166045758445883,1.0,0.0301974293308571,0.054,0.0280572059608982,0.241,0.0280572059608982,1.0,0.0335550867849857,1.0,0.0304000074192229,0.225,0.0330085414789712,0.387,0.0330085414789712,1.0,0.0330085414789712,1.0,0.0119875835064507,0.665,0.0113474032790108,0.81,0.0113474032790108,1.0,0.0113474032790108,1.0
family,unweighted_unifrac,Both_case_control,0.0120211790611413,0.588,0.0160769630417663,0.56,0.0160769630417663,1.0,0.0160769630417663,1.0,0.0085269866550356,0.817,0.0239817660644745,0.411,0.0239817660644745,1.0,0.0239817660644745,1.0,0.0573687636628096,0.522,0.0482156288641287,0.787,0.0482156288641287,1.0,0.0482156288641287,1.0,0.0688386076437222,0.458,0.0319667571048447,0.761,0.0319667571048447,1.0,0.0319667571048447,1.0
family,weighted_unifrac,CASE_CONTROL,0.0077699191805302,0.054,0.0081982543381136,0.124,0.0081982543381136,1.0,0.0090387755467129,1.0,0.0099817750432947,0.074,0.0127305428235308,0.075,0.0127305428235308,1.0,0.014233868665434,1.0,0.0091652863824556,0.373,0.0087639972424596,0.557,0.0087639972424596,1.0,0.0087639972424596,1.0,0.0075725595176517,0.535,0.0093621348444567,0.659,0.0093621348444567,1.0,0.0093621348444567,1.0
family,weighted_unifrac,Crohn_case_control,0.0143859581151201,0.137,0.0137568293218716,0.207,0.0137568293218716,1.0,0.0149748456074055,1.0,0.018293401372615,0.171,0.0209171726562544,0.168,0.0209171726562544,1.0,0.0220728869987781,1.0,0.0474504479268771,0.141,0.0408577013871334,0.321,0.0408577013871334,1.0,0.0408577013871334,1.0,0.027386528343745,0.34,0.0346377256690037,0.499,0.0346377256690037,1.0,0.0346377256690037,1.0
family,weighted_unifrac,UC_case_control,0.0024715259258109,0.85,0.002339838650895,0.943,0.002339838650895,1.0,0.0023142257123575,1.0,0.0042554630763182,0.81,0.0041866487822886,0.922,0.0041866487822886,1.0,0.0041132120614929,1.0,0.0031932277464917,0.941,-0.0014809038391393,0.996,-0.0014809038391393,1.0,-0.0014809038391393,1.0,0.0010280855125353,0.994,0.0008201358922772,0.996,0.0008201358922772,1.0,0.0008201358922772,1.0
family,weighted_unifrac,Both_case_control,0.0160219226914082,0.385,0.0320011002908536,0.188,0.0320011002908536,1.0,0.0320011002908536,1.0,0.0148489587475921,0.573,0.0293568913355638,0.323,0.0293568913355638,1.0,0.0293568913355638,1.0,0.191730452128165,0.067,0.301908613878772,0.143,0.301908613878772,1.0,0.301908613878772,1.0,0.0096788529174124,0.978,0.115272171495736,0.641,0.115272171495736,1.0,0.115272171495736,1.0
family,phylo_pca,CASE_CONTROL,0.0022504165895443,0.494,0.0021662409360366,0.606,0.0021662409360366,1.0,0.0029348643932285,1.0,0.0107394153149416,0.086,0.0058421833279582,0.375,0.0058421833279582,1.0,0.0074779382941329,1.0,0.0077801902627717,0.448,0.0225874026038514,0.239,0.0225874026038514,1.0,0.0225874026038514,1.0,0.0042105133150004,0.666,0.0012350250343816,0.935,0.0012350250343816,1.0,0.0012350250343816,1.0
family,phylo_pca,Crohn_case_control,0.0147901701006154,0.154,0.0161044962434178,0.188,0.0161044962434178,1.0,0.0204101118452505,1.0,0.027788596138807,0.094,0.0110542749077741,0.428,0.0110542749077741,1.0,0.0162587542034228,1.0,0.0656633929464661,0.084,0.0812914989971849,0.128,0.0812914989971849,1.0,0.0812914989971849,1.0,0.0077910234641791,0.742,0.0431131638677898,0.366,0.0431131638677898,1.0,0.0431131638677898,1.0
family,phylo_pca,UC_case_control,0.000819459525214,0.908,0.0021658362100335,0.842,0.0021658362100335,1.0,0.0017566832266338,1.0,0.0132184475590986,0.364,0.0290642493423931,0.248,0.0290642493423931,1.0,0.02656853931551,1.0,0.0031316160886694,0.885,0.0509379673312161,0.197,0.0509379673312161,1.0,0.0509379673312161,1.0,0.0342148896190799,0.193,0.0254170726931825,0.44,0.0254170726931825,1.0,0.0254170726931825,1.0
family,phylo_pca,Both_case_control,0.0005594329171292,0.978,0.0076107354683406,0.718,0.0076107354683406,1.0,0.0076107354683406,1.0,0.000129913301154,0.999,0.0047475923359992,0.846,0.0047475923359992,1.0,0.0047475923359992,1.0,0.049028304730656,0.555,0.206780693995561,0.236,0.206780693995561,1.0,0.206780693995561,1.0,0.0163314084389063,0.864,0.069618293732402,0.604,0.069618293732402,1.0,0.069618293732402,1.0
genus,braycurtis,CASE_CONTROL,0.0078060643828712,0.042,0.0086703483622768,0.066,0.0086703483622768,1.0,0.0091596347614246,1.0,0.0097514569587145,0.083,0.0118561576938042,0.083,0.0118561576938042,1.0,0.012875480823022,1.0,0.0074655321365818,0.52,0.0056717248883323,0.868,0.0056717248883323,1.0,0.0056717248883323,1.0,0.0094179119738597,0.417,0.0142208433399835,0.418,0.0142208433399835,1.0,0.0142208433399835,1.0
genus,braycurtis,Crohn_case_control,0.0142014435924242,0.099,0.0143200136461229,0.191,0.0143200136461229,1.0,0.0154455264580032,1.0,0.0163515890642828,0.17,0.0169513994258347,0.241,0.0169513994258347,1.0,0.0180856713544036,1.0,0.0326186140164962,0.259,0.0292477775869031,0.514,0.0292477775869031,1.0,0.0292477775869031,1.0,0.0396731329999087,0.173,0.0521604072378478,0.215,0.0521604072378478,1.0,0.0521604072378478,1.0
genus,braycurtis,UC_case_control,0.0028380364448516,0.853,0.0033780390395545,0.931,0.0033780390395545,1.0,0.0035020313217936,1.0,0.0048227271609116,0.851,0.0055325695717094,0.944,0.0055325695717094,1.0,0.007019931058248,1.0,0.0020880751162788,0.993,0.0005403100364818,1.0,0.0005403100364818,1.0,0.0005403100364818,1.0,0.0004124777674472,0.999,0.005139985265053,0.983,0.005139985265053,1.0,0.005139985265053,1.0
genus,braycurtis,Both_case_control,0.0190401865991163,0.318,0.0307713311563126,0.179,0.0307713311563126,1.0,0.0307713311563126,1.0,0.0175155937171246,0.537,0.0282740887556459,0.308,0.0282740887556459,1.0,0.0282740887556459,1.0,0.204975810022218,0.024,0.31948402336734,0.119,0.31948402336734,1.0,0.31948402336734,1.0,0.0243338445297142,0.965,0.119367982018186,0.581,0.119367982018186,1.0,0.119367982018186,1.0
genus,clr,CASE_CONTROL,0.0070382269344188,0.007,0.0096651163753901,0.004,0.0096651163753901,1.0,0.0101385209546942,1.0,0.0095757146240337,0.006,0.0140317365248997,0.005,0.0140317365248997,1.0,0.0147093635782869,1.0,0.0151552860405621,0.068,0.0204992165482366,0.105,0.0204992165482366,1.0,0.0204992165482366,1.0,0.0086390030112953,0.625,0.0123881780217887,0.688,0.0123881780217887,1.0,0.0123881780217887,1.0
genus,clr,Crohn_case_control,0.0160323698461079,0.004,0.0188577000917769,0.013,0.0188577000917769,1.0,0.0194345891250406,1.0,0.0225578994432555,0.012,0.0254181312768502,0.011,0.0254181312768502,1.0,0.0263511884679314,1.0,0.0490962118726748,0.032,0.062639820882731,0.08,0.062639820882731,1.0,0.062639820882731,1.0,0.0287668803793756,0.338,0.0475974775464223,0.225,0.0475974775464223,1.0,0.0475974775464223,1.0
genus,clr,UC_case_control,0.0074877815993794,0.497,0.0106006319555324,0.595,0.0106006319555324,1.0,0.0112448181528854,1.0,0.0122618527372641,0.48,0.0182798445377711,0.557,0.0182798445377712,1.0,0.0196017327634742,1.0,0.0152531791229167,0.839,0.0200710898074053,0.922,0.0200710898074053,1.0,0.0200710898074053,1.0,0.016219575178076,0.785,0.0244710316159794,0.722,0.0244710316159794,1.0,0.0244710316159794,1.0
genus,clr,Both_case_control,0.0154307185334952,0.507,0.0257488220225383,0.202,0.0257488220225383,1.0,0.0257488220225383,1.0,0.0192539464036413,0.578,0.0337748506241857,0.119,0.0337748506241857,1.0,0.0337748506241857,1.0,0.0900436905505871,0.269,0.161841559090636,0.313,0.161841559090636,1.0,0.161841559090636,1.0,0.0723863537235862,0.55,0.103659845207991,0.944,0.103659845207991,1.0,0.103659845207991,1.0
genus,rclr,CASE_CONTROL,0.0050064060363596,0.071,0.0066161298924677,0.078,0.0066161298924677,1.0,0.0069779385717372,1.0,0.00869383072422,0.04,0.0121971178349784,0.019,0.0121971178349784,1.0,0.0127467497541265,1.0,0.0070159126216428,0.822,0.0094654571992606,0.874,0.0094654571992606,1.0,0.0094654571992606,1.0,0.0081854607360259,0.673,0.0146560428043184,0.424,0.0146560428043185,1.0,0.0146560428043184,1.0
genus,rclr,Crohn_case_control,0.009307877182698,0.232,0.0094261973068829,0.396,0.0094261973068829,1.0,0.0101628653001977,1.0,0.0158782421922404,0.111,0.0160034405078566,0.187,0.0160034405078566,1.0,0.0169857982165788,1.0,0.0140159045884525,0.966,0.022471097162009,0.959,0.022471097162009,1.0,0.022471097162009,1.0,0.0230494794913727,0.574,0.0398758893052276,0.428,0.0398758893052276,1.0,0.0398758893052276,1.0
genus,rclr,UC_case_control,0.0048268816100821,0.875,0.0067707937280251,0.946,0.0067707937280251,1.0,0.0067325857304665,1.0,0.0083849750220582,0.825,0.0109039503464801,0.971,0.0109039503464801,1.0,0.0102735066425033,1.0,0.0089815580516637,0.991,0.0125960544953663,0.994,0.0125960544953663,1.0,0.0125960544953663,1.0,0.013475252305736,0.866,0.0217676093247522,0.783,0.0217676093247522,1.0,0.0217676093247522,1.0
genus,rclr,Both_case_control,0.0202653737944096,0.195,0.0345901127615671,0.058,0.0345901127615671,1.0,0.0345901127615671,1.0,0.0256657423753853,0.221,0.0416960966794395,0.059,0.0416960966794395,1.0,0.0416960966794395,1.0,0.0923178599494098,0.25,0.144782882494329,0.462,0.144782882494329,1.0,0.144782882494329,1.0,0.0672442241810748,0.607,0.112573391748193,0.705,0.112573391748193,1.0,0.112573391748193,1.0
genus,unweighted_unifrac,CASE_CONTROL,0.0098675055764385,0.014,0.0107338973380313,0.036,0.0107338973380313,1.0,0.0115730674643769,1.0,0.0146692872951682,0.014,0.0167270318697772,0.022,0.0167270318697772,1.0,0.0182388886117019,1.0,0.0109886967767042,0.37,0.0183625067384106,0.294,0.0183625067384106,1.0,0.0183625067384106,1.0,0.0094441351741443,0.456,0.0130549138430618,0.498,0.0130549138430618,1.0,0.0130549138430618,1.0
genus,unweighted_unifrac,Crohn_case_control,0.0186193501321339,0.042,0.017919758344829,0.092,0.017919758344829,1.0,0.0193241647622192,1.0,0.030632853529732,0.022,0.0283858783300412,0.06,0.0283858783300412,1.0,0.0313281564887021,1.0,0.044480814730845,0.126,0.0543641509797531,0.241,0.0543641509797531,1.0,0.0543641509797531,1.0,0.034581949528384,0.247,0.0548548331517864,0.225,0.0548548331517864,1.0,0.0548548331517864,1.0
genus,unweighted_unifrac,UC_case_control,0.0159547183105281,0.077,0.0122306233287097,0.398,0.0122306233287097,1.0,0.0137083072448638,1.0,0.0317543853165031,0.034,0.0163365362788592,0.543,0.0163365362788592,1.0,0.0231115183196085,1.0,0.008985229207756,0.864,0.0110249311848371,0.893,0.0110249311848371,1.0,0.0110249311848371,1.0,0.0129174035162886,0.681,0.0235635185625175,0.596,0.0235635185625175,1.0,0.0235635185625175,1.0
genus,unweighted_unifrac,Both_case_control,0.0074381040655048,0.828,0.0215328782644046,0.396,0.0215328782644046,1.0,0.0215328782644046,1.0,0.0074178845229915,0.905,0.0247655930815898,0.43,0.0247655930815898,1.0,0.0247655930815898,1.0,0.0446780939522719,0.756,0.197194849456124,0.24,0.197194849456124,1.0,0.197194849456124,1.0,0.0241298273166605,0.925,0.0461509738836356,0.878,0.0461509738836356,1.0,0.0461509738836356,1.0
genus,weighted_unifrac,CASE_CONTROL,0.0081229833794069,0.064,0.0085129093752709,0.108,0.0085129093752709,1.0,0.0092747940320125,1.0,0.0103379425805369,0.08,0.0128119625734278,0.08,0.0128119625734278,1.0,0.0142374042144077,1.0,0.0077892126837805,0.489,0.0073047776933822,0.683,0.0073047776933822,1.0,0.0073047776933822,1.0,0.0079352091846951,0.475,0.0103276147231763,0.6,0.0103276147231763,1.0,0.0103276147231763,1.0
genus,weighted_unifrac,Crohn_case_control,0.0155355096225739,0.107,0.0148541971732409,0.194,0.0148541971732409,1.0,0.0161463283533688,1.0,0.0192896319339103,0.135,0.0215999737262714,0.15,0.0215999737262714,1.0,0.0228671728439822,1.0,0.0411950504721215,0.221,0.0373119868938237,0.378,0.0373119868938237,1.0,0.0373119868938237,1.0,0.0286579687591007,0.375,0.0374345527946208,0.442,0.0374345527946208,1.0,0.0374345527946208,1.0
genus,weighted_unifrac,UC_case_control,0.0023655785870847,0.869,0.0019778495861273,0.955,0.0019778495861273,1.0,0.0020288730380496,1.0,0.0041810980965665,0.819,0.0039380389358712,0.92,0.0039380389358712,1.0,0.0040627698595941,1.0,0.0029020877743253,0.96,-0.0031035068014543,0.999,-0.0031035068014543,1.0,-0.0031035068014543,1.0,0.0017453961324012,0.987,0.001585688947243,0.994,0.001585688947243,1.0,0.001585688947243,1.0
genus,weighted_unifrac,Both_case_control,0.0159416704291976,0.382,0.0315797158811017,0.217,0.0315797158811017,1.0,0.0315797158811017,1.0,0.0144782176314387,0.59,0.0285863058107402,0.352,0.0285863058107402,1.0,0.0285863058107402,1.0,0.207279785351765,0.046,0.313799154965421,0.149,0.313799154965421,1.0,0.313799154965421,1.0,0.0126853468841262,0.961,0.138258684511545,0.427,0.138258684511545,1.0,0.138258684511545,1.0
genus,phylo_pca,CASE_CONTROL,0.0197607184644323,0.004,0.0220182455219521,0.007,0.0220182455219521,1.0,0.0242744477019549,1.0,0.0216188360350541,0.009,0.0262969829512083,0.015,0.0262969829512083,1.0,0.0296704616220267,1.0,0.0338445702180666,0.044,0.0337200666878327,0.111,0.0337200666878327,1.0,0.0337200666878327,1.0,0.0184516756952544,0.161,0.016464899031859,0.342,0.016464899031859,1.0,0.016464899031859,1.0
genus,phylo_pca,Crohn_case_control,0.0133081134966063,0.158,0.0158395550421548,0.19,0.0158395550421548,1.0,0.0173340758257294,1.0,0.0222374424076333,0.131,0.0328855736960149,0.073,0.0328855736960149,1.0,0.0352548986708818,1.0,0.0442992349881738,0.209,0.0245670080957696,0.555,0.0245670080957696,1.0,0.0245670080957696,1.0,0.0131408323342915,0.631,0.0059099991387804,0.862,0.0059099991387804,1.0,0.0059099991387804,1.0
genus,phylo_pca,UC_case_control,0.0321123071145181,0.014,0.0479193228750344,0.021,0.0479193228750344,1.0,0.053672642205109,1.0,0.0448028890785069,0.027,0.05889198395583,0.049,0.05889198395583,1.0,0.0700206784223087,1.0,0.0249263991238204,0.29,0.0308973800230244,0.37,0.0308973800230244,1.0,0.0308973800230244,1.0,0.0190148725388392,0.42,0.0394965367890668,0.289,0.0394965367890668,1.0,0.0394965367890668,1.0
genus,phylo_pca,Both_case_control,0.0148112531775038,0.417,0.0138618215756452,0.513,0.0138618215756452,1.0,0.0138618215756452,1.0,0.005813986277979,0.766,0.0049765360600779,0.814,0.0049765360600779,1.0,0.0049765360600779,1.0,0.1129069257142,0.264,0.212581307153813,0.242,0.212581307153813,1.0,0.212581307153813,1.0,0.0812973663673121,0.362,0.140266969974321,0.373,0.140266969974321,1.0,0.140266969974321,1.0
species,braycurtis,CASE_CONTROL,0.0069137082906446,0.053,0.0075042069747078,0.093,0.0075042069747078,1.0,0.007852849799691,1.0,0.0083710527971861,0.089,0.0099701946678151,0.112,0.0099701946678151,1.0,0.0105794205504216,1.0,0.0076303116988248,0.552,0.0069196282098819,0.832,0.0069196282098819,1.0,0.0069196282098819,1.0,0.0083100638117014,0.528,0.0123947347256635,0.508,0.0123947347256635,1.0,0.0123947347256635,1.0
species,braycurtis,Crohn_case_control,0.0136738367148235,0.091,0.0145812101937924,0.154,0.0145812101937924,1.0,0.0150119255300512,1.0,0.0142114267747687,0.253,0.015226386930758,0.259,0.015226386930758,1.0,0.0154700034895729,1.0,0.0284676026113051,0.31,0.0257405833858495,0.627,0.0257405833858495,1.0,0.0257405833858495,1.0,0.0380763043212231,0.182,0.0557267170463345,0.194,0.0557267170463345,1.0,0.0557267170463345,1.0
species,braycurtis,UC_case_control,0.0031256443216221,0.916,0.0039607064555363,0.967,0.0039607064555363,1.0,0.0043419889884259,1.0,0.0066018938361449,0.801,0.0078633180110036,0.932,0.0078633180110036,1.0,0.008989359900954,1.0,0.0054222385395909,0.985,0.0072537495736431,0.994,0.0072537495736431,1.0,0.0072537495736431,1.0,0.001388807334416,0.999,0.0068502900818709,0.997,0.0068502900818709,1.0,0.0068502900818709,1.0
species,braycurtis,Both_case_control,0.0189884793194408,0.307,0.029896954438869,0.198,0.029896954438869,1.0,0.029896954438869,1.0,0.0176797542481915,0.542,0.0279518089763493,0.336,0.0279518089763493,1.0,0.0279518089763493,1.0,0.163240631952633,0.061,0.273928332833227,0.124,0.273928332833227,1.0,0.273928332833227,1.0,0.0389307208974729,0.897,0.120807792306785,0.617,0.120807792306785,1.0,0.120807792306785,1.0
species,clr,CASE_CONTROL,0.0064457335360314,0.004,0.0071377166615589,0.017,0.0071377166615589,1.0,0.0074642600418753,1.0,0.0087853222276286,0.003,0.0103235023260483,0.012,0.0103235023260483,1.0,0.0106928352862403,1.0,0.0129519927633538,0.125,0.0142466082888998,0.492,0.0142466082888998,1.0,0.0142466082888998,1.0,0.0095117205456151,0.532,0.0127942743747675,0.7,0.0127942743747675,1.0,0.0127942743747675,1.0
species,clr,Crohn_case_control,0.0113064449632995,0.037,0.013049373121445,0.087,0.013049373121445,1.0,0.0136448481098754,1.0,0.0163672281735081,0.043,0.0174768894311579,0.074,0.0174768894311579,1.0,0.0185801364806212,1.0,0.0356090607571908,0.098,0.0397399550551163,0.416,0.0397399550551163,1.0,0.0397399550551163,1.0,0.0272207071850895,0.388,0.0483257927962119,0.184,0.0483257927962119,1.0,0.0483257927962119,1.0
species,clr,UC_case_control,0.0091729613432534,0.206,0.0104044341468071,0.696,0.0104044341468071,1.0,0.0111936594829951,1.0,0.0158588423207536,0.143,0.0199057806223703,0.457,0.0199057806223703,1.0,0.0203621250614764,1.0,0.0176171868744676,0.772,0.0212243397013377,0.954,0.0212243397013377,1.0,0.0212243397013377,1.0,0.0190205805947086,0.66,0.0255331177316845,0.759,0.0255331177316845,1.0,0.0255331177316845,1.0
species,clr,Both_case_control,0.0165223466036225,0.43,0.0240826169776962,0.234,0.0240826169776962,1.0,0.0240826169776962,1.0,0.0182433213479029,0.712,0.0291159730053932,0.228,0.0291159730053932,1.0,0.0291159730053932,1.0,0.0849549190027387,0.263,0.160950015075655,0.279,0.160950015075655,1.0,0.160950015075655,1.0,0.0750666113717407,0.452,0.142053400258638,0.536,0.142053400258638,1.0,0.142053400258638,1.0
species,rclr,CASE_CONTROL,0.0039105262627731,0.16,0.0053046801665225,0.138,0.0053046801665225,1.0,0.0054850957112427,1.0,0.0067929842449176,0.055,0.009192380903282,0.037,0.009192380903282,1.0,0.0094503415268926,1.0,0.0095396354821481,0.469,0.0140703942134057,0.516,0.0140703942134057,1.0,0.0140703942134057,1.0,0.0104406159053806,0.388,0.0166170925334109,0.26,0.0166170925334109,1.0,0.0166170925334109,1.0
species,rclr,Crohn_case_control,0.0089475425142863,0.235,0.0100504346309467,0.352,0.0100504346309467,1.0,0.0104577599838872,1.0,0.0128822462207421,0.235,0.0130979463574404,0.366,0.0130979463574404,1.0,0.0137223727125371,1.0,0.0194936470225459,0.908,0.0277813438453791,0.929,0.0277813438453791,1.0,0.0277813438453791,1.0,0.0274149251952139,0.386,0.0490119670401628,0.141,0.0490119670401628,1.0,0.0490119670401628,1.0
species,rclr,UC_case_control,0.0050234264033095,0.963,0.0076399944628574,0.968,0.0076399944628574,1.0,0.0077366881476545,1.0,0.0104127424428386,0.722,0.015349436331632,0.86,0.015349436331632,1.0,0.0151688298470072,1.0,0.0144883031305067,0.938,0.0239564857217578,0.813,0.0239564857217578,1.0,0.0239564857217578,1.0,0.0141756803233988,0.962,0.0241935999337929,0.768,0.0241935999337929,1.0,0.0241935999337929,1.0
species,rclr,Both_case_control,0.0192598035350158,0.225,0.0292307508513101,0.075,0.0292307508513101,1.0,0.0292307508513101,1.0,0.0247377458771108,0.225,0.0353104679024582,0.071,0.0353104679024582,1.0,0.0353104679024582,1.0,0.0941165383801828,0.185,0.149835880160798,0.455,0.149835880160798,1.0,0.149835880160798,1.0,0.0653058746354064,0.719,0.109877312656978,0.917,0.109877312656978,1.0,0.109877312656978,1.0
