Level,Metric,Comparison, Model1 R2, Model1 p, Model2 R2, Model2 p, Model3 R2, Model3 p, Model4 R2, Model4 p,females Model1 R2,females Model1 p,females Model2 R2,females Model2 p,females Model3 R2,females Model3 p,females Model4 R2,females Model4 p,females reduced Model1 R2,females reduced Model1 p,females reduced Model2 R2,females reduced Model2 p,females reduced Model3 R2,females reduced Model3 p,females reduced Model4 R2,females reduced Model4 p,males Model1 R2,males Model1 p,males Model2 R2,males Model2 p,males Model3 R2,males Model3 p,males Model4 R2,males Model4 p
family,braycurtis,CASE_CONTROL,0.0074593979913259,0.051,0.0085011538586975,0.094,0.0085011538586975,1.0,0.0091384858719223,1.0,0.0096606373848183,0.088,0.012663358799088,0.088,0.012663358799088,1.0,0.0137621549019769,1.0,0.0092886537238609,0.406,0.0082806837290269,0.657,0.0082806837290269,1.0,0.0082806837290269,1.0,0.0085921466077825,0.444,0.0120155796017888,0.533,0.0120155796017888,1.0,0.0120155796017888,1.0
family,braycurtis,Crohn_case_control,0.0120599686674115,0.167,0.0120421812184129,0.254,0.0120421812184129,1.0,0.0129728107869398,1.0,0.0148496666955197,0.263,0.0162414741973608,0.266,0.0162414741973608,1.0,0.0169357245105548,1.0,0.0404228998693794,0.177,0.0337898190868704,0.43,0.0337898190868704,1.0,0.0337898190868704,1.0,0.0356453904683847,0.22,0.0467591827785459,0.303,0.0467591827785459,1.0,0.0467591827785459,1.0
family,braycurtis,UC_case_control,0.00285910085962,0.844,0.0041952354946728,0.87,0.0041952354946728,1.0,0.0041658810536142,1.0,0.0051129715159902,0.812,0.0067084124152339,0.872,0.0067084124152339,1.0,0.0075735580087926,1.0,0.0033747462909365,0.969,0.0021479873862691,0.986,0.0021479873862691,1.0,0.0021479873862691,1.0,0.0003436844393587,0.998,0.0047724137881087,0.973,0.0047724137881087,1.0,0.0047724137881087,1.0
family,braycurtis,Both_case_control,0.0177966419268981,0.34,0.030596077461719,0.184,0.030596077461719,1.0,0.030596077461719,1.0,0.0175840097774622,0.5,0.0299699250538979,0.284,0.0299699250538979,1.0,0.0299699250538979,1.0,0.189579404469666,0.046,0.316594243252441,0.127,0.316594243252441,1.0,0.316594243252441,1.0,0.0134045538557154,0.987,0.0898125130022214,0.73,0.0898125130022213,1.0,0.0898125130022214,1.0
family,clr,CASE_CONTROL,0.0077239801612767,0.005,0.0115288475923374,0.001,0.0115288475923374,1.0,0.0122734032838532,1.0,0.0107888283567701,0.006,0.0158976970682274,0.001,0.0158976970682274,1.0,0.017286400748944,1.0,0.0138988435534211,0.129,0.0221181838732361,0.093,0.0221181838732361,1.0,0.0221181838732361,1.0,0.0101479267996507,0.439,0.0154919451899595,0.394,0.0154919451899595,1.0,0.0154919451899595,1.0
family,clr,Crohn_case_control,0.0175866949106354,0.011,0.0198735255974819,0.011,0.0198735255974819,1.0,0.0208755247362136,1.0,0.024223767666797,0.013,0.0265114127234136,0.013,0.0265114127234136,1.0,0.0285247399726789,1.0,0.046272458092411,0.049,0.0673445294096255,0.061,0.0673445294096255,1.0,0.0673445294096255,1.0,0.0363364059121411,0.149,0.0576646998622038,0.103,0.0576646998622038,1.0,0.0576646998622038,1.0
family,clr,UC_case_control,0.0054649849103911,0.815,0.0089758322595261,0.738,0.0089758322595261,1.0,0.0099862188444849,1.0,0.0116844252588209,0.515,0.017659968356148,0.631,0.017659968356148,1.0,0.0193033213980283,1.0,0.0163891246193899,0.757,0.0187951868529642,0.908,0.0187951868529642,1.0,0.0187951868529642,1.0,0.0104435478954196,0.967,0.0195214692616426,0.858,0.0195214692616426,1.0,0.0195214692616426,1.0
family,clr,Both_case_control,0.0162947676533706,0.449,0.0286561716512783,0.167,0.0286561716512783,1.0,0.0286561716512783,1.0,0.0234466203748215,0.323,0.04098284953534,0.063,0.04098284953534,1.0,0.04098284953534,1.0,0.0848763446358644,0.353,0.155395630340066,0.327,0.155395630340065,1.0,0.155395630340066,1.0,0.0705405507689112,0.529,0.0930185243980178,0.968,0.0930185243980178,1.0,0.0930185243980178,1.0
family,rclr,CASE_CONTROL,0.0061079636277925,0.041,0.0080354377821491,0.04,0.0080354377821491,1.0,0.0085893488614656,1.0,0.0109793700407173,0.014,0.0157784239217996,0.008,0.0157784239217996,1.0,0.0165812735075962,1.0,0.0088269736450274,0.539,0.0091558420002809,0.832,0.0091558420002809,1.0,0.0091558420002809,1.0,0.0075835329951397,0.648,0.0111106137452851,0.692,0.0111106137452851,1.0,0.0111106137452851,1.0
family,rclr,Crohn_case_control,0.0096248231451505,0.225,0.0095999792492552,0.393,0.0095999792492552,1.0,0.0104872210731694,1.0,0.0206138743545996,0.068,0.0207940254742893,0.077,0.0207940254742893,1.0,0.0220822398074079,1.0,0.0187904357949577,0.731,0.0209523076320859,0.939,0.0209523076320859,1.0,0.0209523076320859,1.0,0.0213169916650311,0.646,0.0346237634824941,0.569,0.0346237634824941,1.0,0.0346237634824941,1.0
