"","Df","SumsOfSqs","MeanSqs","F.Model","R2","Pr(>F)"
"md$Crohn_case_control",1,0.714705880725016,0.714705880725016,0.28267920502967,0.00779102346417912,0.742
"Residuals",36,91.0198247635513,2.5283284656542,NA,0.992208976535821,NA
"Total",37,91.7345306442763,NA,NA,1,NA
