"","Df","SumsOfSqs","MeanSqs","F.Model","R2","Pr(>F)"
"md$Both_case_control",1,0.0144510190409378,0.0144510190409378,0.00597678831738558,0.000129913301154021,0.999
"Residuals",46,111.221418692292,2.4178569280933,NA,0.999870086698846,NA
"Total",47,111.235869711333,NA,NA,1,NA
