"","Df","SumsOfSqs","MeanSqs","F.Model","R2","Pr(>F)"
"md$UC_case_control",1,0.139743696427378,0.139743696427378,2.55807206056583,0.0317543853165031,0.034
"Residuals",78,4.26102473396487,0.0546285222303188,NA,0.968245614683497,NA
"Total",79,4.40076843039225,NA,NA,1,NA
