"","Df","SumsOfSqs","MeanSqs","F.Model","R2","Pr(>F)"
"md$UC_case_control",1,-0.00550833570984295,-0.00550833570984295,-0.0990049550950252,-0.00310350680145438,0.999
"Residuals",32,1.78038303785698,0.0556369699330305,NA,1.00310350680145,NA
"Total",33,1.77487470214713,NA,NA,1,NA
