"","Df","SumsOfSqs","MeanSqs","F.Model","R2","Pr(>F)"
"md$UC_case_control",1,107.316699346526,107.316699346526,0.950578203502772,0.00748778159937946,0.497
"Residuals",126,14224.925490439,112.896234051104,NA,0.992512218400621,NA
"Total",127,14332.2421897856,NA,NA,1,NA
