"","Df","SumsOfSqs","MeanSqs","F.Model","R2","Pr(>F)"
"md$Crohn_case_control",1,1.25073016733286,1.25073016733286,0.604457916834904,0.0245670080957696,0.555
"Residuals",24,49.6602380082439,2.06917658367683,NA,0.97543299190423,NA
"Total",25,50.9109681755767,NA,NA,1,NA
