"","Df","SumOfSqs","R2","F","Pr(>F)"
"md$CASE_CONTROL",1,0.20963592151075,0.00745939799132596,2.38991589506877,0.051
"Residual",318,27.893961949862,0.992540602008674,NA,NA
"Total",319,28.1035978713727,1,NA,NA
