"","Df","SumsOfSqs","MeanSqs","F.Model","R2","Pr(>F)"
"md$Both_case_control",1,0.0253118881319745,0.0253118881319745,0.363461224262974,0.0571169072072205,0.898
"Residuals",6,0.417847403391686,0.0696412338986144,NA,0.942883092792779,NA
"Total",7,0.443159291523661,NA,NA,1,NA
