"","Df","SumsOfSqs","MeanSqs","F.Model","R2","Pr(>F)"
"md$Crohn_case_control",1,46.0077572696132,46.0077572696132,0.996768368448673,0.0398758893052276,0.428
"Residuals",24,1107.76606624187,46.1569194267447,NA,0.960124110694772,NA
"Total",25,1153.77382351149,NA,NA,1,NA
