"","Df","SumsOfSqs","MeanSqs","F.Model","R2","Pr(>F)"
"md$Both_case_control",1,73.852139791053,73.852139791053,1.10391778154759,0.155395630340066,0.327
"Residuals",6,401.400218524532,66.9000364207553,NA,0.844604369659935,NA
"Total",7,475.252358315585,NA,NA,1,NA
