"","Df","SumsOfSqs","MeanSqs","F.Model","R2","Pr(>F)"
"md$Both_case_control",1,0.0691607679088492,0.0691607679088492,1.04062548764895,0.0221218463160566,0.392
"Residuals",46,3.05719527492517,0.0664607668461994,NA,0.977878153683943,NA
"Total",47,3.12635604283402,NA,NA,1,NA
