"","Df","SumsOfSqs","MeanSqs","F.Model","R2","Pr(>F)"
"md$UC_case_control",1,21.5019381326983,21.5019381326983,0.627390797163882,0.00495462153341577,0.821
"Residuals",126,4318.27214706865,34.2720011672115,NA,0.995045378466584,NA
"Total",127,4339.77408520134,NA,NA,1,NA
