,sum_sq,df,F,PR(>F)
CASE_CONTROL,47.89546078599705,1.0,0.12170906293501424,0.7286244482942246
A_SMK_CIG_CUR_FREQ,230.7882485045609,1.0,0.58646520987466,0.44731918247338287
F1_SDC_AGE_CALC,465.0550286584089,1.0,1.1817698550627453,0.28210718454701184
SDC_GENDER,669.8704888243982,1.0,1.7022345780724533,0.19785282502744395
A_HS_DENTAL_VISIT_LAST,199.47012116569564,1.0,0.5068814691873348,0.47973626658795554
PM_BIOIMPED_BMI,423.1222910198608,1.0,1.075212905394989,0.3046625318512888
PM_BIOIMPED_WEIGHT,290.89456055496856,1.0,0.7392037532790375,0.39393963529461407
PM_WAIST_AVG,328.4954168553674,1.0,0.8347527867526572,0.3652010729260715
PM_WAIST_HIP_RATIO,313.48384095276083,1.0,0.7966062733607607,0.3763020851173732
PM_STANDING_HEIGHT_AVG,339.2901504811847,1.0,0.8621837142908974,0.3575023236693725
A_SLE_LIGHT_EXP,673.9898441293816,1.0,1.7127024358994418,0.1965019572943554
NUT_VEG_DAY_QTY,1005.3186556447115,1.0,2.5546552746680917,0.11614770909378173
NUT_JUICE_DAY_QTY,51.34072376421796,1.0,0.1304639579034025,0.7194434981179406
REFINED_GRAIN_SERVINGS_DAY_QTY,629.5792213369923,1.0,1.599848833580569,0.2116739113450977
PM_BIOIMPED_FFM,3.691948620342201,1.0,0.009381757678327635,0.92321763247944
SALT_SEASONING,282.76699820199974,1.0,0.7185504808876183,0.4005805287790849
NUTS_SEEDS_SERVINGS_PER_DAY,911.723908587763,1.0,2.3168179353252514,0.13415837077718176
Residual,20069.73384874466,51.0,,
