"","Df","SumsOfSqs","MeanSqs","F.Model","R2","Pr(>F)"
"md$Crohn_case_control",1,0.0750325659956293,0.0750325659956293,1.06255238589944,0.0286691638189411,0.311
"Residuals",36,2.5421545438027,0.0706154039945194,NA,0.971330836181059,NA
"Total",37,2.61718710979833,NA,NA,1,NA
