"","Df","SumsOfSqs","MeanSqs","F.Model","R2","Pr(>F)"
"md$UC_case_control",1,6.89742472166775,6.89742472166775,4.12715494617382,0.0479193228750344,0.021
"Residuals",82,137.040851277246,1.67122989362495,NA,0.952080677124966,NA
"Total",83,143.938275998913,NA,NA,1,NA
