"","Df","SumsOfSqs","MeanSqs","F.Model","R2","Pr(>F)"
"md$Crohn_case_control",1,49.2941099807211,49.2941099807211,0.989653186113522,0.00942619730688299,0.396
"Residuals",104,5180.18585695427,49.809479393791,NA,0.990573802693117,NA
"Total",105,5229.47996693499,NA,NA,1,NA
