Level,Grouping,Metric,Comparison,Model1 F,Model1 p,Model2 F,Model2 p,Model3 F,Model3 p,Model4 F,Model4 p
genus,,simpson,UC_case_control,1.344181525,0.248490286,0.524823078,0.470853524,1.449539167,0.232902176,1.293103604,0.259195656
genus,,simpson,Both_case_control,6.321610675,0.014627263,4.53710435,0.038548637,1.250432183,0.272344684,1.590664608,0.215573173
genus,,simpson_e,CASE_CONTROL,2.949033556,0.086902535,3.501457113,0.062552195,2.929140051,0.088403163,4.292970011,0.03939008
genus,,simpson_e,Crohn_case_control,1.72694328,0.191151901,1.842494581,0.17759717,1.030504718,0.312823102,1.903657286,0.170908363
genus,,simpson_e,UC_case_control,0.035532437,0.850787594,0.023247855,0.879188847,0.109049438,0.742274885,0.043598982,0.835183031
genus,,simpson_e,Both_case_control,6.924814556,0.0107897,7.584369565,0.008403421,3.704667543,0.063789706,4.035822964,0.052306613
species,,chao1,CASE_CONTROL,11.49434257,0.000786089,8.532664725,0.003826541,5.519131036,0.019695443,7.64085396,0.006170587
species,,chao1,Crohn_case_control,2.733274769,0.1007282,2.371774949,0.126583717,0.398317331,0.529595405,0.858424895,0.356527656
species,,chao1,UC_case_control,8.273553796,0.004725287,6.108588391,0.0155226,5.624499452,0.020637062,6.83487833,0.010852489
species,,chao1,Both_case_control,1.738172046,0.192381381,1.233401175,0.272518256,0.491535059,0.488646305,0.440303948,0.511323161
species,,faith_pd,CASE_CONTROL,10.85470358,0.00109665,7.469949242,0.006748782,5.620082784,0.018619262,7.10711907,0.00822491
species,,faith_pd,Crohn_case_control,2.297037489,0.132086666,3.152956683,0.078714449,0.429596559,0.513896822,0.825815816,0.365784877
species,,faith_pd,UC_case_control,10.42776446,0.001583124,3.669055552,0.058917394,4.779450681,0.032352837,6.011223059,0.016607775
species,,faith_pd,Both_case_control,0.644421927,0.425282573,0.88084788,0.352871636,0.048642643,0.826936341,0.337075864,0.56524174
species,,observed_otus,CASE_CONTROL,11.49206709,0.000787018,8.5127225,0.003867203,5.544542933,0.019418582,7.761816885,0.005783429
species,,observed_otus,Crohn_case_control,3.068937575,0.082196583,2.966004432,0.088004346,0.687935577,0.409111696,1.256082776,0.265219069
species,,observed_otus,UC_case_control,8.406418928,0.004412345,5.985436674,0.016562433,6.725634985,0.011694249,7.641247489,0.007217528
species,,observed_otus,Both_case_control,1.357420566,0.248596214,0.776235967,0.382875121,0.008624613,0.926625226,0.096331912,0.758117449
species,,shannon,CASE_CONTROL,17.81198523,3.19E-05,14.75494008,0.000157369,11.04117932,0.001043529,14.57783946,0.000173162
species,,shannon,Crohn_case_control,6.842323798,0.00997231,7.708173805,0.006520779,3.81121522,0.054089677,5.148766862,0.025525427
species,,shannon,UC_case_control,5.121177707,0.025346924,2.369276004,0.127594605,3.21089918,0.077733165,3.340068715,0.071698451
species,,shannon,Both_case_control,5.820411648,0.018914697,5.148839608,0.027997232,2.005844009,0.166994164,2.389955476,0.13111229
species,,simpson,CASE_CONTROL,12.18315505,0.000550346,9.45432699,0.002354556,6.833646788,0.009563623,9.179811052,0.002727975
species,,simpson,Crohn_case_control,5.407243026,0.021626672,6.544841546,0.011959457,3.451150945,0.06655196,4.544693874,0.035600852
species,,simpson,UC_case_control,2.018932393,0.157818398,0.524540808,0.47097247,0.972073901,0.327764215,0.950937783,0.332701147
species,,simpson,Both_case_control,5.540472467,0.02187442,4.60604726,0.037168112,1.565757691,0.220494275,1.824540228,0.185442615
species,,simpson_e,CASE_CONTROL,3.508752032,0.061962601,3.831632824,0.05147263,3.468404558,0.063884799,4.538255439,0.03421182
species,,simpson_e,Crohn_case_control,2.131531284,0.146746573,1.719028088,0.192705726,1.523734532,0.22034141,1.631621534,0.204591854
species,,simpson_e,UC_case_control,0.017968511,0.893579541,0.006892724,0.93403604,0.037009308,0.848036811,0.013688103,0.907184382
species,,simpson_e,Both_case_control,4.494367621,0.038151557,6.395061719,0.014937358,4.020838212,0.054036264,4.161065271,0.048966876
asv,,chao1,CASE_CONTROL,8.524701208,0.003753751,8.581981196,0.003727857,6.394280766,0.01215003,8.51212554,0.003879088
asv,,chao1,Crohn_case_control,3.022811848,0.08450548,3.464860416,0.065509807,1.328501575,0.252193366,1.823492644,0.180106316
asv,,chao1,UC_case_control,3.683932765,0.057200184,3.384991194,0.06941101,4.283436234,0.042403703,4.950305236,0.029176524
asv,,chao1,Both_case_control,1.836269582,0.180468786,1.755564581,0.191723022,0.505289195,0.48267557,0.686075414,0.413115249
asv,,faith_pd,CASE_CONTROL,6.971556545,0.008690159,4.894722785,0.027897038,3.689850673,0.056037115,4.753187366,0.030263049
asv,,faith_pd,Crohn_case_control,0.803155799,0.371833857,1.346018218,0.248631849,0.008652501,0.926100054,0.044533683,0.833315838
asv,,faith_pd,UC_case_control,6.837837071,0.010013499,2.698829241,0.104251457,3.353140636,0.071590993,3.554839872,0.063351383
asv,,faith_pd,Both_case_control,1.001495194,0.320967972,1.066019267,0.307244335,0.190398691,0.665709269,0.817574307,0.372072245
asv,,observed_otus,CASE_CONTROL,12.09053188,0.000577305,10.81770777,0.001158867,7.792247566,0.005708504,10.54431071,0.001340173
asv,,observed_otus,Crohn_case_control,5.654010799,0.018895034,5.770019927,0.01807537,2.424321797,0.123054202,3.518762088,0.063748296
asv,,observed_otus,UC_case_control,4.745617258,0.031234292,3.920773139,0.051046937,5.093555705,0.027331142,5.838780204,0.018177794
asv,,observed_otus,Both_case_control,1.68576432,0.199128746,1.216904394,0.275706816,0.12147885,0.729870258,0.326629933,0.571302528
asv,,shannon,CASE_CONTROL,16.12808375,7.39E-05,14.93491463,0.000143862,12.10626568,0.000605734,15.14505295,0.000130575
asv,,shannon,Crohn_case_control,5.554854499,0.019946451,7.07610418,0.009049075,3.4026212,0.068457169,4.348456649,0.03972396
asv,,shannon,UC_case_control,4.468471196,0.036497201,2.510395683,0.116946826,4.142223232,0.045845327,4.757735611,0.032388333
asv,,shannon,Both_case_control,6.402476797,0.014038194,5.74692901,0.020635362,2.186894813,0.149613904,2.9960005,0.092278961
asv,,simpson,CASE_CONTROL,6.88960902,0.009088528,5.849868046,0.016336045,4.81458155,0.02926659,5.925869591,0.015685766
asv,,simpson,Crohn_case_control,2.150382028,0.144986904,3.415283159,0.06743691,1.570569831,0.213443889,1.930972603,0.167900185
asv,,simpson,UC_case_control,1.244107122,0.266803792,0.22580258,0.635917077,0.639820202,0.426645581,0.787886643,0.377655157
asv,,simpson,Both_case_control,4.447323656,0.03913887,3.852179837,0.055745748,1.066220869,0.310053499,1.595607806,0.214876993
asv,,simpson_e,CASE_CONTROL,1.941215049,0.164509761,2.052508414,0.153278918,2.263299489,0.133905806,2.491374705,0.115852018
asv,,simpson_e,Crohn_case_control,0.131081032,0.717910839,0.09848865,0.754279514,9.06E-06,0.997605509,0.000362003,0.984859965
asv,,simpson_e,UC_case_control,0.169077778,0.681631244,0.036586675,0.848781845,0.221139073,0.639723644,0.177804142,0.674506291
asv,,simpson_e,Both_case_control,4.451512806,0.039049846,6.367972529,0.015138273,5.04938304,0.032145797,4.934781436,0.032885347
family,females_,chao1,CASE_CONTROL,3.529157501,0.061633047,0.956214354,0.329548524,0.153485237,0.695771875,0.435483961,0.510247371
family,females_,chao1,Crohn_case_control,0.910080747,0.342648263,0.738894031,0.392649614,2.86E-05,0.995751578,0.281000696,0.597723593
family,females_,chao1,UC_case_control,2.906818152,0.092185834,0.432810375,0.51375605,0.009645811,0.92235723,0.031686812,0.859615225
family,females_,chao1,Both_case_control,0.30963229,0.580602975,0.006923881,0.934121471,0.096547015,0.758811807,0.028967831,0.866077172
family,females_,faith_pd,CASE_CONTROL,2.987326587,0.08533454,2.964585211,0.086946876,1.535353731,0.217208173,1.98051292,0.161252141
family,females_,faith_pd,Crohn_case_control,0.00900913,0.924592212,0.346084223,0.558037783,1.285235588,0.261223513,0.117879975,0.732374347
family,females_,faith_pd,UC_case_control,4.086391362,0.046660019,1.621361356,0.209034225,0.153599208,0.697638926,0.816493484,0.371617275
family,females_,faith_pd,Both_case_control,0.809700272,0.372895562,1.752037878,0.193529097,1.743842552,0.199643131,1.079158037,0.30777403
family,females_,observed_otus,CASE_CONTROL,5.633715658,0.018486651,2.801686936,0.096025994,1.383484958,0.241335279,2.073252447,0.151831194
family,females_,observed_otus,Crohn_case_control,0.772955397,0.38164568,0.872893064,0.353039004,8.84E-05,0.99252932,0.270124718,0.604887822
family,females_,observed_otus,UC_case_control,5.551191282,0.020979602,2.082716272,0.155469652,0.423349979,0.519775063,0.990622179,0.325573457
family,females_,observed_otus,Both_case_control,0.651573413,0.423704959,0.281223242,0.598986046,0.780175853,0.386226854,0.129860705,0.721280797
family,females_,shannon,CASE_CONTROL,14.0491302,0.000228127,10.73503888,0.001277166,7.610433389,0.006511252,10.60581059,0.001373088
family,females_,shannon,Crohn_case_control,5.8116692,0.017953339,4.788953116,0.031635447,3.105792168,0.082864921,4.041837784,0.048239589
family,females_,shannon,UC_case_control,4.287517639,0.041701531,2.217408622,0.143003449,3.595628422,0.066715664,2.160976044,0.149377325
family,females_,shannon,Both_case_control,3.871354485,0.055163436,3.746702609,0.0603781,1.696690949,0.205613725,2.029309726,0.165341686
family,females_,simpson,CASE_CONTROL,10.40518828,0.001449838,7.912238534,0.005495588,5.132566929,0.024884146,7.792763633,0.005876549
family,females_,simpson,Crohn_case_control,6.330230315,0.013642486,4.904253294,0.029709685,2.974311806,0.089499581,4.303137318,0.04172112
family,females_,simpson,UC_case_control,2.245120529,0.138072808,0.997558052,0.322910711,2.273907061,0.14108276,1.307982049,0.259558801
family,females_,simpson,Both_case_control,2.094949374,0.154567827,2.191371181,0.147029776,0.487995799,0.491826391,0.70904955,0.406894498
