"","Df","SumsOfSqs","MeanSqs","F.Model","R2","Pr(>F)"
"md$Both_case_control",1,2.883391911896,2.883391911896,1.69816601575807,0.0356023335403932,0.191
"Residuals",46,78.1054541878858,1.69794465625839,NA,0.964397666459607,NA
"Total",47,80.9888460997818,NA,NA,1,NA
