"","Df","SumsOfSqs","MeanSqs","F.Model","R2","Pr(>F)"
"md$CASE_CONTROL",1,0.0558873147667844,0.0558873147667844,0.459877644171912,0.00691962820988191,0.832
"Residuals",66,8.02074817367923,0.121526487479988,NA,0.993080371790118,NA
"Total",67,8.07663548844601,NA,NA,1,NA
