"","Df","SumsOfSqs","MeanSqs","F.Model","R2","Pr(>F)"
"md$Crohn_case_control",1,3.85157762853854,3.85157762853854,2.04688735638962,0.0222374424076333,0.131
"Residuals",90,169.350787910425,1.88167542122694,NA,0.977762557592367,NA
"Total",91,173.202365538963,NA,NA,1,NA
