"","Df","SumsOfSqs","MeanSqs","F.Model","R2","Pr(>F)"
"md$Both_case_control",1,0.0534170228367977,0.0534170228367977,0.733347907447405,0.0575927016820524,0.618
"Residuals",12,0.874079366057978,0.0728399471714982,NA,0.942407298317948,NA
"Total",13,0.927496388894776,NA,NA,1,NA
