#Feature ID,Kingdom,Pyhlum,Class,Order,Family,Genus,Species
c999bc0690786c190aff3ca4be97320e,k__Bacteria,p__Firmicutes,c__Negativicutes,o__Veillonellales,f__Veillonellaceae,g__Veillonella,s__Veillonella_sp._HMT_780
2acfcbc6a33c11d5b421751838b9da4c,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Lachnospiraceae_[XIV],g__Oribacterium,s__Oribacterium_asaccharolyticum
0e6c89661ef78633efe0c1814d5af39c,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Porphyromonadaceae,g__Porphyromonas,s__Porphyromonas_gingivalis
fa5ab44ad5abfc7f67225222ed2b18e9,k__Bacteria,p__Bacteroidetes,c__Flavobacteriia,o__Flavobacteriales,f__Flavobacteriaceae,g__Capnocytophaga,s__Capnocytophaga_sp._HMT_326
6cbf5794e2b31fa991f3a4656b6d051f,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Prevotellaceae,g__Prevotella,Unclassified g__Prevotella
a15a640856f36e99e54dacfb3c65aa6f,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Prevotellaceae,g__Prevotella,s__Prevotella_sp._HMT_305
cb3f42ad378ddeda014d895db355586b,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Actinomycetales,f__Actinomycetaceae,g__Schaalia,s__Schaalia_sp._HMT_180
f763108e7b770c7a263b24668aba8b2b,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Neisseriales,f__Neisseriaceae,g__Neisseria,s__Neisseria_elongata
37d30f8109745b8f48bc05352fdb0b43,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Prevotellaceae,g__Prevotella,Unclassified g__Prevotella
2e0abf60a52d7bb7c8f94dfe71530a73,k__Bacteria,p__Fusobacteria,c__Fusobacteriia,o__Fusobacteriales,f__Leptotrichiaceae,g__Leptotrichia,s__Leptotrichia_sp._HMT_215
bceeb4cebdff6adc6d1d9caf43a55714,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Lachnospiraceae_[XIV],g__Stomatobaculum,s__Stomatobaculum_sp._HMT_097
aeb7c3b23850fabd43d8f27125df5efa,k__Bacteria,p__Fusobacteria,c__Fusobacteriia,o__Fusobacteriales,f__Fusobacteriaceae,g__Fusobacterium,Unclassified g__Fusobacterium
968a6703d40ad20694bfd26ad005729d,k__Bacteria,p__Fusobacteria,c__Fusobacteriia,o__Fusobacteriales,f__Leptotrichiaceae,g__Leptotrichia,s__Leptotrichia_wadei
b67b924653e2ba692fd3ea7c8f75c2ee,k__Bacteria,p__Bacteroidetes,c__Bacteroidetes_[C-1],o__Bacteroidetes_[O-1],f__Bacteroidetes_[F-1],g__Bacteroidetes_[G-5],s__Bacteroidetes_[G-5]_bacterium_HMT_511
d0f4e1ddbaf535c45acc903ca3367ce0,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Prevotellaceae,g__Prevotella,s__Prevotella_sp._HMT_317
af972921ecfdb7a8dcb9a561ab98a355,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Actinomycetales,f__Micrococcaceae,g__Rothia,s__Rothia_mucilaginosa
154698c357bf4466181d2a3750dfd74d,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Prevotellaceae,g__Prevotella,s__Prevotella_nanceiensis
bd67c391458925fcc54d3f9590a94d25,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Prevotellaceae,g__Prevotella,s__Prevotella_sp._HMT_396
90ea6a57c53b9e8d47dd56ca8f0b55f8,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Prevotellaceae,g__Prevotella,s__Prevotella_oris
