Feature ID	Taxon
321b7763c5946d79f50284281735d5b0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae_[XIV]
01491b7ad3b35c7e644dd24ae831bee2	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae_[XIV]
a67690654fca1914946ee270222b7247	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae_[XIV]
95c08da59378a0eb674c2b7dab943428	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae_[XIV]
6a49b0df18b1abfe220ecc00d5cbf296	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae_[XIV]
5c4a1032c65d0d99d6d6bee379b63a2c	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae_[XIV]
c4228a5878f56464e576996e95eefc5e	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Peptostreptococcaceae_[XI]
f55e6f0203460ecfb665c9dbc579b714	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae
b73c9d186b67a61bce0ba79c990aef39	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae
6960eba3db7d4d863d042ab497d7481a	k__Bacteria; p__Firmicutes; c__Negativicutes; o__Veillonellales; f__Veillonellaceae
d2a7d567b64364c09cf4bea1e3f5aef5	k__Bacteria; p__Firmicutes; c__Negativicutes; o__Veillonellales; f__Veillonellaceae
6545176af2fa076f03140433793c0d00	k__Bacteria; p__Firmicutes; c__Negativicutes; o__Selenomonadales; f__Selenomonadaceae
ebc68f0a3a40711c1b0df994d93a6cac	k__Bacteria; p__Firmicutes; c__Negativicutes; o__Selenomonadales; f__Selenomonadaceae
719ab97ff4cf3c7b809b054134f4dc70	k__Bacteria; p__Firmicutes; c__Negativicutes; o__Veillonellales; f__Veillonellaceae
3fae853851bfe19cdb50e15749f373b6	k__Bacteria; p__Firmicutes; c__Negativicutes; o__Veillonellales; f__Veillonellaceae
a99fb503372ef5103fa41e0c743bbad2	k__Bacteria; Unclassified k__Bacteria; Unclassified k__Bacteria; Unclassified k__Bacteria; Unclassified k__Bacteria
