#Feature ID,Kingdom,Pyhlum,Class,Order,Family,Genus,Species
b21bbc630376fdeea3d592a807d5f0d8,k__Bacteria,p__Proteobacteria,c__Epsilonproteobacteria,o__Campylobacterales,f__Campylobacteraceae,g__Campylobacter,Unclassified g__Campylobacter
14c60835717629d1ccd771574cc98365,k__Bacteria,p__Proteobacteria,c__Epsilonproteobacteria,o__Campylobacterales,f__Campylobacteraceae,g__Campylobacter,s__Campylobacter_sp._HMT_044
7e464b9b7f9ca86103a675a09263efec,k__Bacteria,p__Proteobacteria,c__Epsilonproteobacteria,o__Campylobacterales,f__Campylobacteraceae,g__Campylobacter,s__Campylobacter_concisus
41f01f3e3cbf6beb908ae1ebb553208e,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Xanthomonadales,f__Xanthomonadaceae,g__Stenotrophomonas,s__Stenotrophomonas_maltophilia
bc6f21affc11d8c4a5d6454f728e4add,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Burkholderiales,f__Comamonadaceae,g__Ottowia,s__Ottowia_sp._HMT_894
e6566e1e8969e8d41859c9999b464d9b,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Neisseriales,f__Neisseriaceae,g__Kingella,s__Kingella_sp._HMT_459
c2ba82ad21732bcd0ef11c61560cf91c,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Neisseriales,f__Neisseriaceae,g__Kingella,s__Kingella_oralis
b959b7f49b64d68af7a2577c1ee807d6,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Neisseriales,f__Neisseriaceae,g__Neisseria,s__Neisseria_oralis
250a576e3788b3f444938c7b08afb2e3,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Neisseriales,f__Neisseriaceae,g__Neisseria,Unclassified g__Neisseria
f763108e7b770c7a263b24668aba8b2b,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Neisseriales,f__Neisseriaceae,g__Neisseria,s__Neisseria_elongata
4d53cddbfd3d4bd31f5885bd6884990a,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Neisseriales,f__Neisseriaceae,g__Kingella,Unclassified g__Kingella
eedb6e6a512baecd8df273d5495ca5c0,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Neisseriales,f__Neisseriaceae,g__Eikenella,s__Eikenella_corrodens
120319833d2d7a19e2d3700b4a704ae0,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Neisseriales,f__Neisseriaceae,g__Eikenella,Unclassified g__Eikenella
12c715419aef32143be552666f6099f4,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Neisseriales,f__Neisseriaceae,g__Neisseria,s__Neisseria_sp._HMT_018
4ea83b7a4e7f45d4ae146e7a034018cc,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Neisseriales,f__Neisseriaceae,g__Neisseria,s__Neisseria_bacilliformis
